# participant,task,method,experience,safety score,hinderance score,logic score,coworker score,avg. robot time,std. robot time,avg. separation,std. separation,avg. time under 0.3m,std. time under 0.3m
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,7.722672000000000025e+01,2.279497859090899414e+00,5.059389831481192479e-01,1.229694675673043656e-02,4.086666666666666892e+00,1.465545025655036859e+00
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,8.789341999999999189e+01,4.429109948240165906e+00,4.255529319193048221e-01,1.849453782672950616e-02,2.097999999999999687e+01,6.463043658628134125e+00
1.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,9.481329999999999814e+01,9.083629305294225631e+00,3.978797579470641499e-01,1.218025136796171103e-02,2.497333333333333272e+01,7.260590732011945825e+00
1.200000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,8.819346000000000174e+01,9.706521515063977645e+00,3.529185001979653902e-01,2.494651453846810293e-02,3.233999999999999631e+01,6.308562083038856017e+00
1.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,9.000000000000000000e+00,9.305332000000001358e+01,9.124401697514198162e+00,3.268671076452440150e-01,2.388175559762774000e-02,3.667999999999999972e+01,6.876000129274123296e+00
1.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,8.891995999999998901e+01,9.101328832121161838e+00,4.175263650551725436e-01,3.512968033972135862e-02,2.326000000000000156e+01,8.473446104678359347e+00
1.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,8.463345999999999947e+01,1.656482849661897205e+01,4.044078072017043834e-01,3.240513523934813317e-02,2.910666666666666558e+01,1.376258050738386096e+01
1.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,6.000000000000000000e+00,9.221340000000000714e+01,6.001397133668128880e+00,3.334436997094838984e-01,2.739594691558062262e-02,4.019999999999999574e+01,5.853507970059966148e+00
1.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,4.000000000000000000e+00,8.242673999999999523e+01,5.104454229239400398e+00,4.013967899125594485e-01,1.570905249493377218e-02,2.477333333333333343e+01,4.911365503717996184e+00
1.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,9.289332000000000278e+01,6.402173473251098201e+00,3.263705522958179617e-01,1.187837163904315908e-02,4.139999999999999858e+01,3.542064683517541557e+00
1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,9.000000000000000000e+00,8.024676000000000897e+01,2.506513151451634780e+00,3.746899095773755795e-01,3.483524684888301276e-02,2.794666666666666899e+01,6.271898525256216494e+00
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,8.960674000000000206e+01,6.195297779639007629e+00,3.589650912338939182e-01,1.404551687038333059e-02,3.262666666666666515e+01,2.878533577284718703e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00,9.844679999999999609e+01,1.885543629269818666e+01,3.892901315454920796e-01,4.708875479944179404e-02,3.354666666666666686e+01,1.425246333484535377e+01
4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,9.007337999999998601e+01,6.333108403114541041e+00,3.303538202074876029e-01,9.539040256137111887e-03,3.839999999999999858e+01,3.768111817166082123e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,9.648669999999999902e+01,1.276465804916058211e+01,4.106750834093748637e-01,2.152891217336370608e-02,2.620666666666666700e+01,5.100649196153586473e+00
6.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.916014000000001261e+01,9.201755490035582241e+00,3.899276195733579753e-01,5.106566210300476916e-02,2.632000000000000028e+01,1.180276050572727442e+01
7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,8.530006000000000199e+01,9.869331351940717312e+00,3.956130748729894675e-01,6.405408092232255102e-02,2.237333333333333485e+01,1.313660534536986191e+01
8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,8.906007999999999925e+01,4.503935977520107770e+00,3.509650745007448780e-01,1.745971499384346703e-02,3.456666666666666998e+01,4.625436916299549672e+00
9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.714933999999999514e+01,7.120361426107525205e+00,3.818829465320874306e-01,1.413843865133488850e-02,3.215333333333332888e+01,5.106449081526439393e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,6.651341999999999643e+01,2.271048685871793982e+00,5.186460814820572640e-01,3.896356036757528396e-02,5.566666666666666430e+00,4.277174560644237289e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,7.443340000000000600e+01,6.544358452591057862e+00,3.950014681054022092e-01,2.324646383649108666e-02,2.371999999999999886e+01,2.519400281372092820e+00
1.100000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,6.884671999999999059e+01,3.423432962042631811e+00,4.866803462728810925e-01,1.743501200299997500e-02,7.979999999999999538e+00,2.607561653686787828e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.690673999999999921e+01,5.733899460437025475e+00,3.426031184139373131e-01,2.078482074416372616e-02,2.839999999999999858e+01,4.235143969742283687e+00
