time,iteration,cost, 
0.0266803,0,645761, 
0.750189,1,21.6402, 
0.925745,2,21.6402, 
1.42758,3,20.2384, 
1.63137,4,20.2384, 
1.86855,5,20.2384, 
2.10542,6,20.2384, 
2.77214,7,20.2384, 
2.96916,8,20.2384, 
3.28076,9,20.2384, 
3.55982,10,20.2384, 
3.77511,11,20.2384, 
3.82996,12,20.2384, 
3.93043,13,20.2384, 
4.35038,14,20.2384, 
4.56015,15,20.2384, 
4.83848,16,20.2384, 
5.10409,17,20.2384, 
5.21615,18,20.2384, 
5.3421,19,20.2384, 
5.65566,20,19.3929, 
6.09616,21,19.3929, 
6.42789,22,19.3929, 
6.81379,23,19.3929, 
7.04701,24,19.3929, 
7.54063,25,19.3929, 
8.08091,26,19.3929, 
8.5156,27,19.3929, 
8.70573,28,19.3929, 
9.27119,29,19.3929, 
9.96857,30,19.0283, 
time,iteration,cost, 
0.0277075,0,645761, 
0.385328,1,645761, 
0.550899,2,645761, 
0.829792,3,645761, 
0.96583,4,645761, 
1.13935,5,645761, 
1.31577,6,645761, 
1.48129,7,645761, 
1.70723,8,21.0738, 
1.92754,9,21.0738, 
2.04806,10,19.2267, 
2.31306,11,19.2267, 
2.62272,12,19.2267, 
2.66104,13,19.2267, 
2.92655,14,19.2267, 
2.96665,15,19.2267, 
3.12522,16,19.2267, 
3.38387,17,19.2267, 
3.84132,18,19.2267, 
3.94489,19,19.2267, 
4.20371,20,19.2267, 
4.4021,21,19.2267, 
4.44163,22,19.2267, 
4.59963,23,19.2229, 
5.01004,24,19.0578, 
5.40147,25,19.0578, 
5.61224,26,19.0578, 
5.87309,27,19.0578, 
6.16247,28,19.0578, 
6.4569,29,19.0578, 
6.69657,30,19.0578, 
6.82219,31,19.0578, 
7.15756,32,19.0578, 
7.66693,33,18.9075, 
7.88933,34,18.9075, 
8.21682,35,18.9075, 
8.34009,36,18.9075, 
8.64796,37,18.9075, 
8.92459,38,18.9075, 
9.48878,39,18.9075, 
9.97954,40,18.9075, 
time,iteration,cost, 
0.0255242,0,645761, 
0.280372,1,645761, 
0.544028,2,645761, 
0.743107,3,19.4324, 
1.22929,4,19.4324, 
1.33649,5,19.4324, 
1.36924,6,19.4324, 
1.50072,7,19.4324, 
1.65487,8,19.4324, 
1.94707,9,19.4324, 
2.08985,10,19.4324, 
2.15583,11,19.4324, 
2.37027,12,19.4324, 
2.55659,13,19.4324, 
2.82699,14,19.4324, 
3.30856,15,19.3467, 
3.54883,16,19.3467, 
3.8675,17,19.3467, 
4.23612,18,19.3467, 
4.55483,19,19.3467, 
4.70571,20,19.3467, 
4.89438,21,19.3467, 
5.18097,22,19.3467, 
5.2799,23,19.3467, 
5.57835,24,19.3467, 
5.83647,25,19.0971, 
6.09421,26,19.0971, 
6.4664,27,19.0971, 
6.57805,28,19.0971, 
6.71096,29,19.0971, 
6.81829,30,19.0971, 
7.10668,31,19.0971, 
7.48395,32,18.9294, 
7.6821,33,18.9294, 
7.91932,34,18.9294, 
8.38333,35,18.9294, 
8.93007,36,18.9294, 
9.02479,37,18.9294, 
9.14563,38,18.9294, 
9.27753,39,18.9294, 
9.9846,40,18.9294, 
time,iteration,cost, 
0.0278106,0,645761, 
0.498767,1,645761, 
0.931514,2,20.3428, 
1.30983,3,19.3471, 
1.74667,4,19.3471, 
2.03849,5,19.3471, 
2.33776,6,19.3471, 
2.56554,7,19.3471, 
2.99845,8,19.3471, 
3.17767,9,19.3471, 
3.50276,10,19.3471, 
3.60868,11,19.3471, 
4.18872,12,19.2582, 
4.23102,13,19.2582, 
4.57178,14,19.2582, 
4.85107,15,19.2582, 
5.03664,16,19.2291, 
5.33324,17,19.2291, 
5.37608,18,19.2291, 
5.74868,19,19.2291, 
6.11528,20,19.2291, 
6.49622,21,19.2291, 
6.65236,22,19.2291, 
7.05215,23,19.2291, 
7.4009,24,19.2291, 
7.87705,25,19.2291, 
7.98177,26,19.2291, 
8.46536,27,19.2291, 
8.56523,28,19.2291, 
8.87921,29,19.2291, 
9.12784,30,19.2291, 
9.44622,31,19.2291, 
9.83503,32,19.2291, 
time,iteration,cost, 
0.0279979,0,645761, 
0.40527,1,645761, 
0.946895,2,645761, 
1.23073,3,19.5981, 
1.58436,4,19.5981, 
1.77423,5,19.5949, 
2.3217,6,19.5086, 
2.4342,7,19.5086, 
2.91847,8,19.4948, 
3.35728,9,19.4948, 
3.79018,10,19.4948, 
4.0486,11,19.4948, 
4.36007,12,19.4948, 
4.54665,13,19.4948, 
4.72739,14,19.4948, 
5.01886,15,19.4948, 
5.31791,16,19.4948, 
5.75949,17,19.4948, 
6.10804,18,19.0623, 
6.30483,19,19.0623, 
6.71089,20,19.0623, 
6.99677,21,19.0623, 
7.12116,22,19.0623, 
7.70221,23,19.0623, 
7.94465,24,19.0623, 
8.44868,25,19.0623, 
8.73398,26,19.0623, 
8.84782,27,19.0623, 
9.19272,28,19.0623, 
9.42528,29,19.0623, 
time,iteration,cost, 
0.0256633,0,645761, 
0.597406,1,645761, 
1.10986,2,20.2508, 
1.74327,3,19.4623, 
2.23998,4,19.2665, 
2.74958,5,19.2665, 
3.23197,6,19.2665, 
3.89049,7,19.2665, 
4.14731,8,19.2665, 
4.59221,9,19.2665, 
5.17736,10,19.2665, 
5.41342,11,19.2665, 
6.00436,12,19.2665, 
6.14507,13,19.2665, 
6.4802,14,19.2486, 
6.69628,15,19.2486, 
7.16195,16,19.2486, 
7.52797,17,19.2486, 
7.90949,18,19.2486, 
8.33151,19,19.2486, 
8.92646,20,19.2486, 
9.71507,21,19.2486, 
time,iteration,cost, 
0.0249822,0,645761, 
0.550022,1,645761, 
0.680831,2,645761, 
0.871575,3,645761, 
1.03168,4,645761, 
1.47749,5,645761, 
1.77039,6,645761, 
2.04946,7,645761, 
2.45673,8,20.4067, 
3.04439,9,19.2358, 
3.13374,10,19.2358, 
3.35322,11,19.2358, 
3.80546,12,19.2358, 
3.83594,13,19.2358, 
4.13106,14,19.2358, 
4.34739,15,19.2358, 
4.51142,16,19.2358, 
4.85308,17,19.2358, 
5.13999,18,19.2358, 
5.42062,19,19.2358, 
5.50256,20,19.2358, 
5.7229,21,19.2358, 
6.0718,22,19.2358, 
6.55645,23,19.2358, 
6.93394,24,19.2358, 
7.23201,25,19.2358, 
7.6577,26,19.2358, 
8.00709,27,19.2358, 
8.35589,28,19.2358, 
8.52801,29,19.2358, 
8.73192,30,19.2358, 
8.92692,31,19.2358, 
9.26483,32,19.2358, 
9.75635,33,19.2358, 
time,iteration,cost, 
0.0272964,0,645761, 
0.271607,1,645761, 
0.569314,2,645761, 
1.07144,3,19.4351, 
1.4897,4,19.4351, 
1.80111,5,19.3677, 
2.28114,6,19.262, 
2.59074,7,19.262, 
2.83443,8,19.262, 
3.12228,9,19.262, 
3.49058,10,19.262, 
3.80896,11,19.262, 
4.04569,12,19.262, 
4.31959,13,19.2392, 
4.42337,14,19.2392, 
4.65281,15,19.2392, 
4.95072,16,19.2392, 
5.32297,17,19.0987, 
5.78797,18,19.0987, 
6.04808,19,19.0987, 
