time,iteration,cost, 
0.279788,0,inf, 
0.611636,1,inf, 
1.02069,2,inf, 
1.5489,3,23.3341, 
1.87455,4,23.3341, 
2.04155,5,23.3341, 
2.42413,6,22.7831, 
2.77039,7,19.653, 
3.20784,8,19.653, 
3.28798,9,19.653, 
3.66715,10,19.653, 
4.04685,11,19.653, 
4.25322,12,19.653, 
4.42538,13,19.653, 
4.49453,14,19.653, 
4.68226,15,19.653, 
4.80553,16,19.653, 
5.04623,17,19.653, 
5.29819,18,19.653, 
5.61399,19,19.653, 
5.97579,20,19.653, 
6.29593,21,19.653, 
6.3355,22,19.653, 
6.73139,23,19.653, 
7.44677,24,19.653, 
7.71368,25,19.653, 
7.91596,26,19.653, 
8.01432,27,19.653, 
8.4391,28,19.653, 
8.62443,29,19.653, 
8.8216,30,19.653, 
9.03748,31,19.653, 
9.31777,32,19.653, 
9.44183,33,19.653, 
time,iteration,cost, 
0.0216323,0,inf, 
0.464097,1,1000.37, 
0.566807,2,1000.37, 
0.88383,3,1000.37, 
1.08485,4,1000.37, 
1.27368,5,1000.37, 
1.50886,6,1000.37, 
1.64647,7,1000.37, 
1.84754,8,1000.37, 
2.18195,9,1000.37, 
2.44354,10,1000.37, 
2.58192,11,1000.37, 
2.76576,12,1000.37, 
2.9888,13,1000.37, 
3.25493,14,1000.37, 
3.53312,15,1000.37, 
3.68537,16,1000.37, 
3.81965,17,19.3457, 
3.90517,18,19.3457, 
4.25529,19,19.3457, 
4.39621,20,19.3457, 
4.47374,21,19.3457, 
4.52026,22,19.3457, 
4.72383,23,19.3457, 
4.99983,24,19.3457, 
5.26535,25,19.3457, 
5.46602,26,19.3457, 
5.50909,27,19.3457, 
5.77305,28,19.3457, 
5.91498,29,19.3457, 
5.99219,30,19.3457, 
6.18254,31,19.3457, 
6.47328,32,19.3457, 
6.90891,33,19.3457, 
7.07011,34,19.3457, 
7.44407,35,19.3457, 
7.50002,36,19.3457, 
7.77907,37,19.3457, 
7.98114,38,19.3457, 
8.1312,39,19.3457, 
8.21927,40,19.3457, 
8.47899,41,19.3457, 
8.65494,42,19.3457, 
9.04839,43,19.3457, 
9.21815,44,19.3457, 
9.54654,45,19.3457, 
9.84079,46,19.3457, 
time,iteration,cost, 
0.0200487,0,inf, 
0.149586,1,inf, 
0.242759,2,20.2246, 
0.478356,3,19.7296, 
0.702777,4,19.7296, 
0.790734,5,19.7296, 
0.950314,6,19.7296, 
1.1159,7,19.7296, 
1.19759,8,19.7296, 
1.40042,9,19.7296, 
1.56861,10,19.7296, 
1.62911,11,19.7296, 
1.69212,12,19.7296, 
1.84931,13,19.7296, 
2.06687,14,19.7296, 
2.22335,15,19.7296, 
2.37387,16,19.7296, 
2.47088,17,19.7296, 
2.84302,18,19.7296, 
2.96759,19,19.7296, 
3.06224,20,19.7296, 
3.26127,21,19.7296, 
3.29647,22,19.7296, 
3.419,23,19.7296, 
3.48007,24,19.7296, 
3.52037,25,19.7296, 
3.95116,26,19.6648, 
4.14614,27,19.6053, 
4.46108,28,19.6053, 
4.77063,29,19.6053, 
4.86139,30,19.6053, 
5.01871,31,19.6053, 
5.08189,32,19.6053, 
5.24402,33,19.6053, 
5.46845,34,19.6053, 
5.63386,35,19.6053, 
5.79427,36,19.6053, 
5.8737,37,19.6053, 
6.08409,38,19.6053, 
6.52451,39,19.6053, 
6.74926,40,19.6053, 
6.90532,41,19.6053, 
7.34807,42,19.6053, 
7.55928,43,18.7142, 
7.85354,44,18.7142, 
8.245,45,18.7142, 
