time,iteration,cost, 
0.153283,0,inf, 
0.153438,1,inf, 
0.153525,2,inf, 
0.153608,3,inf, 
0.179488,4,inf, 
0.195893,5,inf, 
0.196023,6,inf, 
0.21129,7,inf, 
0.211434,8,inf, 
0.211568,9,inf, 
0.242895,10,inf, 
0.24308,11,inf, 
0.243205,12,inf, 
0.243315,13,inf, 
0.251427,14,inf, 
0.251894,15,inf, 
0.251991,16,inf, 
0.252094,17,inf, 
0.262094,18,inf, 
0.262217,19,inf, 
0.262307,20,inf, 
0.275646,21,inf, 
0.275838,22,inf, 
0.284394,23,inf, 
0.284642,24,inf, 
0.284748,25,inf, 
0.312878,26,inf, 
0.313047,27,inf, 
0.313154,28,inf, 
0.313271,29,inf, 
0.326948,30,inf, 
0.327103,31,inf, 
0.327237,32,inf, 
0.339237,33,inf, 
0.339388,34,inf, 
0.353338,35,inf, 
0.353479,36,inf, 
0.353601,37,inf, 
0.353703,38,inf, 
0.353819,39,inf, 
0.353882,40,inf, 
0.353975,41,inf, 
0.354094,42,inf, 
0.354268,43,inf, 
0.354357,44,inf, 
0.354468,45,inf, 
0.354569,46,inf, 
0.36227,47,inf, 
0.362447,48,inf, 
0.373841,49,inf, 
0.373962,50,inf, 
0.374084,51,inf, 
0.374179,52,inf, 
0.37433,53,inf, 
0.374449,54,inf, 
0.374595,55,inf, 
0.374688,56,inf, 
0.374786,57,inf, 
0.374889,58,inf, 
0.374979,59,inf, 
0.375071,60,inf, 
0.37518,61,inf, 
0.375271,62,inf, 
0.375355,63,inf, 
0.375484,64,inf, 
0.375582,65,inf, 
0.375644,66,inf, 
0.375752,67,inf, 
0.375836,68,inf, 
0.375963,69,inf, 
0.403772,70,inf, 
0.403922,71,inf, 
0.404024,72,inf, 
0.404124,73,inf, 
0.404215,74,inf, 
0.994082,75,15.2562, 
1.43782,76,15.12, 
1.99786,77,12.7723, 
2.4325,78,12.7259, 
3.05399,79,12.7259, 
3.7212,80,12.7259, 
4.2645,81,12.7139, 
4.91544,82,11.6526, 
5.47586,83,10.8459, 
5.99899,84,10.8279, 
6.73948,85,10.827, 
7.32348,86,10.827, 
8.0265,87,10.8218, 
9.06959,88,10.8218, 
9.93694,89,10.8186, 
time,iteration,cost, 
0.197861,0,inf, 
0.197989,1,inf, 
0.198095,2,inf, 
0.204572,3,inf, 
0.204681,4,inf, 
0.204785,5,inf, 
0.204901,6,inf, 
0.204985,7,inf, 
0.205082,8,inf, 
0.205165,9,inf, 
0.205243,10,inf, 
0.208701,11,inf, 
0.208851,12,inf, 
0.208939,13,inf, 
0.215365,14,inf, 
0.215462,15,inf, 
0.215551,16,inf, 
0.21564,17,inf, 
0.215723,18,inf, 
0.215769,19,inf, 
0.215852,20,inf, 
0.215936,21,inf, 
0.216021,22,inf, 
0.224189,23,inf, 
0.224662,24,inf, 
0.224822,25,inf, 
0.224978,26,inf, 
0.225125,27,inf, 
0.238007,28,inf, 
0.247239,29,inf, 
0.247425,30,inf, 
0.247543,31,inf, 
0.253791,32,inf, 
0.253908,33,inf, 
0.254303,34,inf, 
0.258876,35,inf, 
0.259,36,inf, 
0.262627,37,inf, 
0.262773,38,inf, 
0.262864,39,inf, 
0.262947,40,inf, 
0.269376,41,inf, 
0.269489,42,inf, 
0.282248,43,inf, 
0.282405,44,inf, 
0.282503,45,inf, 
0.282592,46,inf, 
0.282754,47,inf, 
0.28289,48,inf, 
0.282987,49,inf, 
0.283084,50,inf, 
0.421385,51,4.85558, 
0.546665,52,4.83608, 
0.661083,53,4.81121, 
0.765974,54,4.81121, 
0.877478,55,4.81121, 
0.982205,56,4.81121, 
1.11867,57,4.81121, 
1.26984,58,4.81121, 
1.38374,59,4.81121, 
1.50475,60,4.81121, 
1.62521,61,4.81121, 
1.75716,62,4.81121, 
1.92101,63,4.81121, 
2.07575,64,4.74507, 
2.22117,65,4.73026, 
2.37062,66,4.73026, 
2.50756,67,4.73026, 
2.65149,68,4.73026, 
2.79656,69,4.72683, 
3.02474,70,4.72683, 
3.25772,71,4.72683, 
3.41421,72,4.71673, 
3.61253,73,4.71673, 
3.8503,74,4.71673, 
4.02269,75,4.71673, 
4.27919,76,4.71673, 
4.56342,77,4.71673, 
4.74684,78,4.71673, 
4.9396,79,4.71673, 
5.19726,80,4.71673, 
5.40367,81,4.71097, 
5.66191,82,4.71097, 
5.83813,83,4.64966, 
6.05464,84,4.64966, 
6.25268,85,4.64966, 
6.44496,86,4.64966, 
6.73503,87,4.64966, 
6.94132,88,4.64966, 
7.21343,89,4.64966, 
7.46055,90,4.64966, 
7.71395,91,4.64966, 
8.03555,92,4.56725, 
8.26169,93,4.56725, 
8.57998,94,4.45207, 
8.78823,95,4.45207, 
9.11913,96,4.3665, 
9.44324,97,4.3665, 
9.69564,98,4.3665, 
9.93942,99,4.3665, 
time,iteration,cost, 
0.209662,0,inf, 
0.20979,1,inf, 
0.209878,2,inf, 
0.209925,3,inf, 
0.210012,4,inf, 
0.212592,5,inf, 
0.216651,6,inf, 
0.220505,7,inf, 
0.220646,8,inf, 
0.223021,9,inf, 
0.223113,10,inf, 
0.223218,11,inf, 
0.223338,12,inf, 
0.223387,13,inf, 
0.223526,14,inf, 
0.223652,15,inf, 
0.223758,16,inf, 
0.223889,17,inf, 
0.224424,18,inf, 
0.224576,19,inf, 
0.284345,20,45773.6, 
0.284458,21,45773.6, 
0.284559,22,45773.6, 
0.284649,23,45773.6, 
0.284729,24,45773.6, 
0.284829,25,45773.6, 
0.284911,26,45773.6, 
0.331902,27,45773.6, 
0.332024,28,45773.6, 
0.332101,29,45773.6, 
0.332196,30,45773.6, 
0.332296,31,45773.6, 
0.332366,32,45773.6, 
0.332444,33,45773.6, 
0.332548,34,45773.6, 
0.332625,35,45773.6, 
0.332698,36,45773.6, 
0.385952,37,45773.6, 
0.466622,38,19.7168, 
0.525357,39,19.7168, 
0.573157,40,19.7168, 
0.640824,41,16.396, 
0.698988,42,13.1336, 
0.738132,43,13.1336, 
0.780831,44,13.1336, 
0.833941,45,13.1336, 
0.880659,46,13.1336, 
0.921207,47,13.1336, 
0.963595,48,13.1336, 
1.02235,49,13.1336, 
1.08903,50,13.1336, 
1.14198,51,13.1336, 
1.20443,52,13.1336, 
1.25932,53,13.1336, 
1.31216,54,13.1336, 
1.36014,55,13.1336, 
1.41364,56,13.1336, 
1.46799,57,13.1336, 
1.52342,58,13.1336, 
1.58956,59,13.1336, 
1.65237,60,13.1336, 
1.73833,61,13.1336, 
1.80132,62,11.6059, 
1.87831,63,11.6059, 
1.94305,64,11.6059, 
2.0026,65,11.6059, 
2.07237,66,11.6059, 
2.14199,67,11.6059, 
2.20206,68,11.6059, 
2.27062,69,11.6059, 
2.36228,70,11.6059, 
2.44356,71,11.6059, 
2.51093,72,11.6059, 
2.58203,73,11.6059, 
2.66076,74,11.6059, 
2.75134,75,11.6059, 
2.82873,76,11.6059, 
2.90177,77,11.6059, 
2.90191,78,11.6059, 
2.97036,79,11.6059, 
3.05511,80,11.6059, 
3.15751,81,11.3188, 
3.25136,82,11.3188, 
3.32754,83,11.3188, 
3.4082,84,11.3188, 
3.48109,85,11.3188, 
3.5969,86,11.3188, 
3.69284,87,11.3188, 
3.79447,88,11.3188, 
3.88164,89,11.3188, 
3.99775,90,11.3184, 
4.0958,91,11.3184, 
4.21471,92,11.3184, 
4.29918,93,11.3184, 
4.43551,94,11.3184, 
4.57342,95,11.3184, 
4.68381,96,11.3184, 
4.79148,97,11.3184, 
4.88696,98,11.3184, 
5.02464,99,11.3184, 
5.14095,100,11.3184, 
5.27205,101,11.3184, 
5.38394,102,11.3184, 
5.48155,103,11.3184, 
5.57476,104,11.3184, 
5.67563,105,11.3184, 
5.80768,106,11.3182, 
5.91991,107,11.3182, 
6.05649,108,11.3182, 
6.23111,109,11.3182, 
6.33525,110,11.3182, 
6.45377,111,11.3182, 
6.5934,112,11.3182, 
6.70209,113,9.76962, 
6.8138,114,9.76962, 
6.95901,115,9.76962, 
7.08489,116,9.76962, 
7.21996,117,9.76962, 
7.35286,118,9.76962, 
7.46489,119,9.76962, 
7.5733,120,9.76962, 
7.74276,121,9.76962, 
7.85862,122,9.76962, 
7.971,123,9.76962, 
8.12033,124,9.76264, 
8.2308,125,9.76264, 
8.39687,126,9.76264, 
8.53683,127,9.75537, 
8.70059,128,9.75537, 
8.87014,129,9.75537, 
9.01459,130,9.75537, 
9.01473,131,9.75537, 
9.15136,132,9.75537, 
9.29411,133,9.75537, 
9.43119,134,9.75537, 
9.61742,135,9.75537, 
9.75697,136,9.75537, 
9.91749,137,9.75537, 
time,iteration,cost, 
0.188984,0,inf, 
0.18911,1,inf, 
0.189216,2,inf, 
0.196394,3,inf, 
0.19652,4,inf, 
0.2016,5,inf, 
0.201726,6,inf, 
0.201812,7,inf, 
0.202185,8,inf, 
0.202271,9,inf, 
0.205352,10,inf, 
0.213428,11,inf, 
0.213792,12,inf, 
0.21394,13,inf, 
0.218536,14,inf, 
0.218709,15,inf, 
0.218804,16,inf, 
0.261151,17,32.3061, 
0.261242,18,32.3061, 
0.294867,19,17.5319, 
0.29499,20,17.5319, 
0.328133,21,13.1089, 
0.372379,22,8.48165, 
0.414873,23,8.22813, 
0.466924,24,8.0833, 
0.510525,25,7.87665, 
0.557782,26,7.55596, 
0.604742,27,7.55596, 
0.64497,28,7.55596, 
0.688393,29,7.54452, 
0.735869,30,7.5172, 
0.80036,31,7.43268, 
0.862103,32,7.43264, 
0.920664,33,7.43041, 
0.987547,34,7.43041, 
1.05035,35,7.43041, 
1.11178,36,7.30591, 
1.17865,37,7.30591, 
1.24451,38,7.30591, 
1.30291,39,7.30046, 
1.38816,40,7.30046, 
1.47654,41,7.12506, 
1.54813,42,7.07389, 
1.63025,43,6.80397, 
1.69278,44,6.80397, 
1.76767,45,6.79892, 
