time,iteration,cost, 
0.0295483,0,645761, 
0.410945,1,645761, 
0.59447,2,645761, 
0.742122,3,645761, 
0.997028,4,645761, 
1.13749,5,645761, 
1.57849,6,645761, 
1.73189,7,645761, 
2.08273,8,21.7693, 
2.43973,9,20.0114, 
2.75602,10,20.0114, 
3.26698,11,19.6852, 
3.42524,12,19.6852, 
3.54443,13,19.6852, 
4.03716,14,19.1268, 
4.20537,15,19.1268, 
4.46785,16,19.1268, 
4.75168,17,19.1268, 
4.84923,18,19.1268, 
5.12117,19,19.1268, 
5.60568,20,19.1268, 
5.79265,21,19.1268, 
5.94461,22,19.1268, 
6.32979,23,19.0614, 
6.43571,24,19.0614, 
6.62274,25,19.0614, 
6.71959,26,19.0614, 
6.79212,27,19.0614, 
7.28394,28,19.0614, 
7.65843,29,19.0614, 
8.1113,30,19.0614, 
8.40724,31,19.0614, 
8.4349,32,19.0614, 
8.89015,33,19.0614, 
9.18403,34,19.0614, 
9.85028,35,19.0614, 
time,iteration,cost, 
0.0260359,0,645761, 
0.208941,1,645761, 
0.447982,2,645761, 
0.608991,3,20.9547, 
0.647155,4,20.9547, 
0.812997,5,20.9547, 
0.921637,6,20.9547, 
1.15507,7,19.969, 
1.306,8,19.969, 
1.46863,9,19.969, 
1.75773,10,19.969, 
2.03587,11,19.969, 
2.23893,12,19.5955, 
2.38583,13,19.5955, 
2.42185,14,19.5955, 
2.72527,15,19.4835, 
2.94881,16,19.4835, 
2.98871,17,19.4835, 
3.36538,18,19.4835, 
3.57736,19,19.4835, 
3.82815,20,19.4835, 
4.10945,21,19.4835, 
4.27659,22,19.4835, 
4.45934,23,19.4835, 
4.74546,24,19.4835, 
4.85052,25,19.4835, 
4.9362,26,19.4835, 
5.16706,27,19.4835, 
5.44114,28,19.4835, 
5.63109,29,19.4835, 
5.7934,30,19.4835, 
5.9571,31,19.4835, 
6.27514,32,19.0845, 
6.60313,33,19.0845, 
6.8913,34,19.0845, 
7.12419,35,19.0845, 
7.27255,36,19.0845, 
7.77274,37,19.0845, 
8.04107,38,19.0845, 
8.37021,39,19.0845, 
8.61991,40,19.0845, 
9.02213,41,19.0845, 
9.84991,42,19.0845, 
time,iteration,cost, 
0.0274563,0,645761, 
0.492228,1,645761, 
0.914653,2,645761, 
1.11728,3,645761, 
1.47765,4,645761, 
1.71432,5,645761, 
1.9657,6,645761, 
2.30449,7,645761, 
2.61962,8,645761, 
2.85919,9,645761, 
3.22148,10,645761, 
3.47625,11,645761, 
3.65433,12,645761, 
3.85463,13,645761, 
4.0743,14,645761, 
4.29208,15,645761, 
4.40626,16,645761, 
4.71049,17,645761, 
5.2291,18,20.1913, 
