time,iteration,cost, 
0.319695,0,645761, 
0.752298,1,645761, 
1.2039,2,645761, 
1.89634,3,645761, 
2.25427,4,21.5853, 
2.52583,5,21.5853, 
3.04529,6,21.107, 
3.31802,7,21.107, 
3.60038,8,19.6155, 
3.77465,9,19.6155, 
3.97241,10,19.2154, 
4.57216,11,19.2154, 
4.82626,12,19.2154, 
5.19512,13,19.2154, 
5.29723,14,19.2154, 
5.58287,15,19.2154, 
5.73605,16,19.2154, 
5.97847,17,19.2154, 
6.1002,18,19.2154, 
6.46043,19,19.2013, 
6.7229,20,19.2013, 
7.15197,21,19.2013, 
7.1828,22,19.2013, 
7.66503,23,19.2013, 
8.30706,24,19.1311, 
8.71374,25,19.1311, 
8.94732,26,19.1311, 
9.08895,27,19.1311, 
9.38937,28,19.1311, 
9.54258,29,19.1311, 
9.79127,30,19.1311, 
time,iteration,cost, 
0.0247611,0,645761, 
0.510182,1,645761, 
0.901936,2,20.2973, 
1.56271,3,19.6468, 
2.02912,4,19.6468, 
2.27607,5,19.6252, 
2.43668,6,19.6252, 
2.88862,7,19.3185, 
3.01497,8,19.3185, 
3.17224,9,19.3185, 
3.47573,10,19.3185, 
3.78937,11,19.2327, 
4.06345,12,19.2327, 
4.2228,13,19.2327, 
4.38836,14,19.2327, 
4.61801,15,19.2327, 
4.93421,16,19.2327, 
5.48349,17,18.9898, 
5.7591,18,18.9898, 
5.92935,19,18.9898, 
6.26723,20,18.9898, 
6.34887,21,18.9898, 
6.77601,22,18.9898, 
7.05171,23,18.9898, 
7.35359,24,18.9898, 
7.44069,25,18.9898, 
7.7032,26,18.9898, 
8.20858,27,18.9898, 
8.48449,28,18.9898, 
8.66024,29,18.9898, 
8.89931,30,18.9898, 
9.13281,31,18.9898, 
9.46755,32,18.9898, 
9.58391,33,18.9898, 
9.86502,34,18.9898, 
time,iteration,cost, 
0.0245876,0,645761, 
1.07321,1,645761, 
1.50394,2,20.1437, 
2.1174,3,19.5045, 
2.65345,4,19.2957, 
3.14102,5,19.2957, 
3.30776,6,19.2957, 
3.61898,7,19.2957, 
3.74845,8,19.2957, 
4.15309,9,19.2957, 
4.41505,10,19.2957, 
4.85514,11,19.2957, 
5.20394,12,19.2957, 
5.48133,13,19.2957, 
5.80705,14,19.2957, 
6.43291,15,19.2709, 
6.60785,16,19.2709, 
6.73464,17,19.2709, 
6.89065,18,19.2709, 
7.29519,19,19.1684, 
7.48676,20,19.1684, 
7.90975,21,19.1684, 
8.30862,22,18.9452, 
8.43546,23,18.9452, 
8.67124,24,18.9452, 
9.10528,25,18.9452, 
9.27746,26,18.9452, 
9.49697,27,18.9452, 
9.8939,28,18.9452, 
time,iteration,cost, 
0.0248053,0,645761, 
0.526014,1,645761, 
0.719736,2,645761, 
0.909076,3,74.2882, 
1.23617,4,74.2882, 
1.43256,5,74.2882, 
1.58751,6,74.2882, 
1.99164,7,20.2787, 
2.15256,8,20.2787, 
2.336,9,20.2787, 
2.42316,10,20.2787, 
2.54141,11,20.2787, 
2.98694,12,19.2632, 
3.31141,13,19.2632, 
3.54596,14,19.2632, 
3.80685,15,19.2632, 
4.15888,16,19.2632, 
4.31258,17,19.2632, 
4.40517,18,19.2632, 
4.6707,19,19.2632, 
5.06248,20,19.2632, 
5.2385,21,19.2632, 
5.49453,22,19.2047, 
5.68183,23,19.0127, 
6.13472,24,19.0127, 
6.70641,25,19.0127, 
7.03486,26,19.0127, 
7.24514,27,19.0127, 
7.72716,28,19.0127, 
8.21165,29,19.0127, 
8.3152,30,19.0127, 
8.66353,31,19.0127, 
8.75928,32,19.0127, 
9.07225,33,19.0127, 
9.35923,34,19.0127, 
9.49548,35,19.0127, 
9.93392,36,19.0127, 
