time,iteration,cost, 
0.281758,0,4.9549e+15, 
0.702299,1,4.9549e+15, 
0.997121,2,21.1142, 
1.51363,3,21.1142, 
1.98894,4,21.1142, 
2.35559,5,20.4078, 
2.72487,6,20.4078, 
3.12118,7,20.2346, 
3.40554,8,8.12474, 
3.56203,9,8.12474, 
3.7974,10,8.12474, 
4.20536,11,8.12474, 
4.4465,12,8.12474, 
4.78471,13,8.12474, 
5.02097,14,8.12474, 
5.4313,15,8.12474, 
5.93034,16,8.12474, 
6.32781,17,8.12474, 
6.88563,18,8.12474, 
7.42024,19,8.12474, 
7.89406,20,8.12474, 
8.2689,21,8.12474, 
8.44886,22,8.12474, 
9.31407,23,7.34492, 
9.90904,24,7.34492, 
