time,iteration,cost, 
0.2962,0,inf, 
0.473516,1,inf, 
0.565289,2,inf, 
0.731059,3,11.5247, 
0.854993,4,11.5247, 
0.922124,5,11.5247, 
1.03714,6,11.5247, 
1.07314,7,11.5247, 
1.1751,8,11.5247, 
1.33187,9,11.5247, 
1.42271,10,11.5247, 
1.49761,11,11.5247, 
1.66604,12,11.5247, 
1.81959,13,11.5247, 
2.09637,14,11.5247, 
2.26707,15,11.5247, 
2.4622,16,11.5247, 
2.63992,17,11.5247, 
3.01221,18,11.5247, 
3.23456,19,11.5247, 
3.4081,20,11.5247, 
3.55173,21,11.5247, 
3.77249,22,11.5247, 
3.77544,23,11.5247, 
3.89928,24,11.5247, 
4.08091,25,11.5247, 
4.34623,26,11.5247, 
4.90729,27,11.5247, 
5.04234,28,11.5247, 
5.13856,29,11.5247, 
5.81875,30,10.8532, 
5.96244,31,10.2928, 
6.07214,32,10.2928, 
6.33702,33,10.2928, 
6.68921,34,10.2928, 
6.7913,35,10.2928, 
6.9537,36,10.2928, 
7.09552,37,9.96111, 
7.46981,38,8.89137, 
7.74746,39,8.89137, 
8.0125,40,8.89137, 
8.14187,41,8.89137, 
8.8132,42,8.89137, 
9.14666,43,8.89137, 
9.70293,44,8.89137, 
time,iteration,cost, 
0.0266941,0,inf, 
0.240925,1,inf, 
0.379075,2,inf, 
0.423007,3,inf, 
0.492204,4,inf, 
0.537813,5,inf, 
0.557894,6,inf, 
0.608846,7,inf, 
0.71001,8,inf, 
0.861336,9,inf, 
1.00751,10,inf, 
1.02878,11,inf, 
1.13461,12,13.3222, 
1.25892,13,13.3222, 
1.34353,14,13.3222, 
1.39002,15,13.3222, 
1.4717,16,13.3222, 
1.65002,17,11.2303, 
1.76737,18,11.2303, 
1.96288,19,11.2303, 
2.10776,20,11.2303, 
2.18512,21,11.2303, 
2.24213,22,11.2303, 
2.40092,23,11.2303, 
2.51737,24,11.2303, 
2.77983,25,11.2303, 
2.92222,26,11.2303, 
2.97746,27,11.2303, 
2.99224,28,11.2303, 
3.11407,29,10.6045, 
3.56922,30,10.6045, 
3.60862,31,10.6045, 
3.74664,32,10.6045, 
3.88602,33,10.6045, 
4.07986,34,10.6045, 
4.26518,35,10.6045, 
4.54823,36,10.6045, 
4.76663,37,10.6045, 
4.88345,38,10.6045, 
4.99027,39,10.6045, 
5.25831,40,10.6045, 
5.90244,41,9.10735, 
6.3987,42,9.10735, 
6.51136,43,9.10735, 
6.80815,44,8.79559, 
7.11087,45,8.79559, 
7.19331,46,8.79559, 
7.38225,47,8.79559, 
7.56809,48,8.79559, 
7.67952,49,8.79559, 
7.80126,50,8.79559, 
7.96979,51,8.79559, 
8.1372,52,8.79559, 
8.23511,53,8.79559, 
8.51117,54,8.79559, 
8.62605,55,8.79559, 
8.89155,56,8.79559, 
9.16885,57,8.79559, 
9.48048,58,8.79559, 
9.59219,59,8.79559, 
time,iteration,cost, 
0.0241916,0,inf, 
0.26216,1,inf, 
0.40788,2,inf, 
0.501643,3,inf, 
0.53779,4,inf, 
0.767278,5,inf, 
0.907851,6,inf, 
1.01131,7,inf, 
1.09256,8,inf, 
1.40973,9,32762, 
1.56892,10,32762, 
1.84954,11,13.206, 
2.09961,12,13.206, 
2.2782,13,13.206, 
2.55527,14,13.206, 
2.59015,15,13.206, 
2.72236,16,13.206, 
2.91208,17,13.206, 
3.08733,18,13.206, 
3.25416,19,11.7641, 
3.33023,20,11.7641, 
3.70439,21,10.6431, 
4.09801,22,10.4752, 
4.13621,23,10.4752, 
4.25621,24,10.4752, 
4.78707,25,10.297, 
5.22601,26,8.84306, 
