time,iteration,cost, 
0.152308,0,inf, 
0.152452,1,inf, 
0.152548,2,inf, 
0.152636,3,inf, 
0.165956,4,inf, 
0.166057,5,inf, 
0.166146,6,inf, 
0.166231,7,inf, 
0.166317,8,inf, 
0.175104,9,inf, 
0.17524,10,inf, 
0.175332,11,inf, 
0.17542,12,inf, 
0.175537,13,inf, 
0.175624,14,inf, 
0.176001,15,inf, 
0.176354,16,inf, 
0.176481,17,inf, 
0.187606,18,inf, 
0.187781,19,inf, 
0.187909,20,inf, 
0.187994,21,inf, 
0.199555,22,inf, 
0.199724,23,inf, 
0.199822,24,inf, 
0.239065,25,inf, 
0.239241,26,inf, 
0.239358,27,inf, 
0.239449,28,inf, 
0.239563,29,inf, 
0.23965,30,inf, 
0.239734,31,inf, 
0.240233,32,inf, 
0.240731,33,inf, 
0.258532,34,inf, 
0.258749,35,inf, 
0.25886,36,inf, 
0.267925,37,inf, 
0.268081,38,inf, 
0.268177,39,inf, 
0.289232,40,inf, 
0.28978,41,inf, 
0.289917,42,inf, 
0.290046,43,inf, 
0.290181,44,inf, 
0.290293,45,inf, 
0.29042,46,inf, 
0.307967,47,inf, 
0.308133,48,inf, 
0.308241,49,inf, 
0.308763,50,inf, 
0.308883,51,inf, 
0.321301,52,inf, 
0.330819,53,inf, 
0.330921,54,inf, 
0.341022,55,inf, 
0.351287,56,inf, 
0.351519,57,inf, 
0.35163,58,inf, 
0.35205,59,inf, 
0.36137,60,inf, 
0.361535,61,inf, 
0.361678,62,inf, 
0.362123,63,inf, 
0.362234,64,inf, 
0.403155,65,inf, 
0.403321,66,inf, 
0.403419,67,inf, 
0.403518,68,inf, 
0.403654,69,inf, 
0.403744,70,inf, 
0.404163,71,inf, 
0.404274,72,inf, 
0.404387,73,inf, 
0.404549,74,inf, 
0.404671,75,inf, 
0.404789,76,inf, 
0.421733,77,inf, 
0.421901,78,inf, 
0.422,79,inf, 
0.422125,80,inf, 
0.448581,81,inf, 
0.449001,82,inf, 
0.449121,83,inf, 
0.44931,84,inf, 
0.449694,85,inf, 
0.449944,86,inf, 
0.450071,87,inf, 
0.476795,88,inf, 
0.47695,89,inf, 
0.477056,90,inf, 
0.477437,91,inf, 
0.477612,92,inf, 
0.478035,93,inf, 
0.47815,94,inf, 
0.478287,95,inf, 
0.478404,96,inf, 
0.933406,97,16.0668, 
0.933598,98,16.0668, 
1.53004,99,16.0668, 
1.94582,100,15.9446, 
2.30045,101,15.7797, 
2.67893,102,15.7441, 
3.05761,103,14.7274, 
3.57131,104,14.7274, 
4.11324,105,11.3234, 
4.75628,106,11.1497, 
5.33698,107,11.1497, 
5.96883,108,11.1497, 
6.70067,109,10.6379, 
7.36398,110,10.6379, 
8.04106,111,10.6379, 
8.6976,112,10.608, 
9.34925,113,10.608, 
9.9983,114,9.05614, 
time,iteration,cost, 
0.200079,0,23401.4, 
0.200199,1,23401.4, 
0.200274,2,23401.4, 
0.205123,3,23401.4, 
0.205226,4,23401.4, 
0.205309,5,23401.4, 
0.205399,6,23401.4, 
0.205474,7,23401.4, 
0.205565,8,23401.4, 
0.20562,9,23401.4, 
0.205702,10,23401.4, 
0.205771,11,23401.4, 
0.205833,12,23401.4, 
0.205903,13,23401.4, 
0.20597,14,23401.4, 
0.206021,15,23401.4, 
0.206075,16,23401.4, 
0.206401,17,23401.4, 
0.206494,18,23401.4, 
0.217129,19,23401.4, 
0.227181,20,23401.4, 
0.227258,21,23401.4, 
0.227322,22,23401.4, 
0.227406,23,23401.4, 
0.227467,24,23401.4, 
0.227524,25,23401.4, 
0.2276,26,23401.4, 
0.227649,27,23401.4, 
0.227964,28,23401.4, 
0.228033,29,23401.4, 
0.22835,30,23401.4, 
0.228422,31,23401.4, 
0.22852,32,23401.4, 
0.228575,33,23401.4, 
0.228657,34,23401.4, 
0.228735,35,23401.4, 
0.228784,36,23401.4, 
0.241694,37,29.5884, 
0.251532,38,10.9153, 
0.261725,39,10.5361, 
0.26204,40,10.5361, 
0.273961,41,10.5075, 
0.274047,42,10.5075, 
0.287406,43,10.5075, 
0.287492,44,10.5075, 
0.300312,45,10.5075, 
0.314604,46,10.5075, 
0.329786,47,10.5075, 
0.330216,48,10.5075, 
0.346757,49,8.07763, 
0.363831,50,5.82629, 
0.379247,51,5.82629, 
0.397464,52,5.78412, 
0.414187,53,5.78412, 
0.414259,54,5.78412, 
0.431154,55,5.78412, 
0.451218,56,5.78412, 
0.471704,57,5.1632, 
0.489272,58,5.1632, 
0.489363,59,5.1632, 
0.511486,60,5.1632, 
0.530254,61,5.1632, 
0.550558,62,5.1632, 
0.570147,63,5.1632, 
0.589075,64,5.1632, 
0.589195,65,5.1632, 
0.58925,66,5.1632, 
0.589314,67,5.1632, 
0.616639,68,5.1632, 
0.642522,69,5.1632, 
0.642643,70,5.1632, 
0.664462,71,5.1632, 
0.684534,72,5.1632, 
0.707545,73,5.1632, 
0.736334,74,5.1632, 
0.758572,75,5.1632, 
0.783526,76,5.1632, 
0.841667,77,5.1632, 
0.868407,78,5.1632, 
0.903193,79,4.76027, 
0.929032,80,4.76027, 
0.95499,81,4.76027, 
0.984567,82,4.76027, 
1.01801,83,4.76027, 
1.05818,84,4.74994, 
1.09669,85,4.72795, 
1.12594,86,4.45856, 
1.16214,87,4.41827, 
1.20245,88,4.36538, 
1.23643,89,4.36538, 
1.27067,90,4.36538, 
1.30146,91,4.36538, 
1.33601,92,4.33564, 
1.36572,93,4.33564, 
1.40017,94,4.33564, 
1.43403,95,4.33564, 
1.47352,96,4.31957, 
1.50796,97,4.31957, 
1.55373,98,4.31957, 
1.59938,99,4.25514, 
1.63689,100,4.25514, 
1.68586,101,4.25514, 
1.72391,102,4.25514, 
1.76408,103,4.25514, 
1.80375,104,4.25514, 
1.85089,105,4.25514, 
1.88806,106,4.25514, 
1.93285,107,4.25514, 
1.97823,108,4.25514, 
2.02513,109,4.23419, 
2.06598,110,4.23419, 
2.11352,111,4.18675, 
2.15278,112,4.18675, 
2.19816,113,4.18675, 
2.25972,114,4.18675, 
2.31697,115,4.18675, 
2.37431,116,4.18675, 
2.42798,117,4.18675, 
2.48391,118,4.18675, 
2.52577,119,4.18675, 
2.57743,120,4.18675, 
2.62685,121,4.18675, 
2.69201,122,4.18675, 
2.74878,123,4.18458, 
2.80403,124,4.18458, 
2.86842,125,4.18458, 
2.93537,126,4.18458, 
2.9901,127,4.17277, 
3.03579,128,4.17277, 
3.10117,129,4.17277, 
3.16732,130,4.17277, 
3.16747,131,4.17277, 
3.23048,132,4.17277, 
3.28371,133,4.14616, 
3.33789,134,4.14616, 
3.39357,135,4.06093, 
3.45572,136,4.06093, 
3.51668,137,4.06093, 
3.58006,138,4.0537, 
3.63903,139,4.0537, 
3.70619,140,4.0537, 
3.7685,141,3.99023, 
3.84192,142,3.99023, 
3.91584,143,3.99023, 
3.9834,144,3.98575, 
4.04348,145,3.98575, 
4.0985,146,3.98575, 
4.16321,147,3.98575, 
4.22044,148,3.98575, 
4.28789,149,3.96446, 
4.28798,150,3.96446, 
4.35231,151,3.91913, 
4.42769,152,3.91913, 
4.48533,153,3.91913, 
4.59555,154,3.91913, 
4.66447,155,3.89642, 
4.73514,156,3.88099, 
4.79892,157,3.88099, 
4.88545,158,3.88099, 
4.95194,159,3.88099, 
5.02776,160,3.88099, 
5.09023,161,3.88099, 
5.20311,162,3.88099, 
5.2822,163,3.88099, 
5.35995,164,3.88099, 
5.45301,165,3.88099, 
5.5418,166,3.88099, 
5.62023,167,3.88099, 
5.69947,168,3.88099, 
5.79321,169,3.88099, 
5.86849,170,3.88099, 
5.94329,171,3.88099, 
6.0281,172,3.88099, 
6.10858,173,3.863, 
6.19085,174,3.863, 
6.26474,175,3.863, 
6.33927,176,3.863, 
6.41131,177,3.863, 
6.48098,178,3.863, 
6.55818,179,3.863, 
6.63575,180,3.863, 
6.71798,181,3.863, 
6.78971,182,3.863, 
6.86328,183,3.86172, 
6.95325,184,3.86172, 
7.03781,185,3.86172, 
7.1218,186,3.86172, 
7.19817,187,3.86172, 
7.27022,188,3.84945, 
7.36045,189,3.84945, 
7.43734,190,3.84945, 
7.53139,191,3.84441, 
7.60158,192,3.84441, 
7.68551,193,3.81278, 
7.6856,194,3.81278, 
7.77077,195,3.81278, 
7.8486,196,3.81278, 
7.92532,197,3.81278, 
8.004,198,3.81278, 
8.10593,199,3.81278, 
8.18598,200,3.81278, 
8.286,201,3.81278, 
8.39654,202,3.81278, 
8.4875,203,3.81278, 
