time,iteration,cost, 
0.769774,0,1.64404, 
time,iteration,cost, 
0.769881,0,inf, 
0.769993,1,inf, 
0.771501,2,inf, 
0.771678,3,inf, 
0.771811,4,inf, 
0.773811,5,inf, 
0.775586,6,inf, 
0.775742,7,inf, 
0.77586,8,inf, 
0.775971,9,inf, 
0.777547,10,inf, 
0.777673,11,inf, 
0.777791,12,inf, 
0.777917,13,inf, 
0.781369,14,inf, 
0.783143,15,inf, 
0.783299,16,inf, 
0.783494,17,inf, 
0.783634,18,inf, 
0.783756,19,inf, 
0.783876,20,inf, 
0.784008,21,inf, 
0.784134,22,inf, 
0.784673,23,inf, 
0.784819,24,inf, 
0.784945,25,inf, 
0.785081,26,inf, 
0.785258,27,inf, 
0.785375,28,inf, 
0.785499,29,inf, 
0.785695,30,inf, 
0.78583,31,inf, 
0.786066,32,inf, 
0.786256,33,inf, 
0.786398,34,inf, 
0.787908,35,3.98654, 
0.790209,36,3.98654, 
0.792422,37,3.98654, 
0.794298,38,3.98654, 
0.799885,39,3.98654, 
0.801851,40,3.70637, 
0.815467,41,3.68566, 
0.815586,42,3.68566, 
0.817549,43,3.68566, 
0.817629,44,3.68566, 
0.817693,45,3.68566, 
0.822155,46,3.63866, 
0.825681,47,3.56121, 
0.832266,48,3.55458, 
0.843758,49,3.50347, 
0.845829,50,3.50347, 
0.846322,51,3.50347, 
0.85522,52,3.41728, 
0.855317,53,3.41728, 
0.855416,54,3.41728, 
0.857095,55,3.41728, 
0.857171,56,3.41728, 
0.860355,57,3.39844, 
0.862231,58,3.39844, 
0.862913,59,3.39844, 
0.872108,60,3.39844, 
0.873774,61,3.39844, 
0.875337,62,3.39844, 
0.877752,63,3.39844, 
0.879684,64,3.39844, 
0.881799,65,3.39844, 
0.883191,66,3.39844, 
0.883265,67,3.39844, 
0.8871,68,3.39844, 
0.889195,69,3.39844, 
0.891243,70,3.39844, 
0.894632,71,3.39844, 
0.894937,72,3.39844, 
0.90592,73,3.39844, 
0.912383,74,3.39844, 
0.912501,75,3.39844, 
0.914965,76,3.39844, 
0.918987,77,3.39844, 
0.920909,78,3.39844, 
0.929938,79,3.39844, 
0.932255,80,3.39844, 
0.934476,81,3.39844, 
0.936781,82,3.39844, 
0.939582,83,3.39844, 
0.942109,84,3.39844, 
0.942196,85,3.39844, 
0.943135,86,3.39844, 
0.945291,87,3.39844, 
0.949982,88,3.39844, 
0.952171,89,3.39844, 
0.954263,90,3.39844, 
0.955945,91,3.39844, 
0.958244,92,3.39844, 
0.95985,93,3.39844, 
0.962228,94,3.39844, 
0.962314,95,3.39844, 
0.963801,96,3.39844, 
0.966923,97,3.39844, 
0.969247,98,3.39844, 
0.969325,99,3.39844, 
0.971845,100,3.39844, 
0.971931,101,3.39844, 
0.973256,102,3.39844, 
0.973342,103,3.39844, 
0.975566,104,3.39844, 
0.97798,105,3.39844, 
0.978061,106,3.39844, 
0.978127,107,3.39844, 
0.980436,108,3.39844, 
0.983027,109,3.39844, 
0.984698,110,3.39844, 
0.984777,111,3.39844, 
0.986538,112,3.39844, 
0.986618,113,3.39844, 
0.994487,114,3.39844, 
time,iteration,cost, 
0.767727,0,inf, 
0.767867,1,inf, 
0.767926,2,inf, 
0.768041,3,inf, 
0.769306,4,inf, 
0.76944,5,inf, 
0.769622,6,inf, 
0.76972,7,inf, 
0.769812,8,inf, 
0.772333,9,inf, 
0.773425,10,inf, 
0.773543,11,inf, 
0.774208,12,6.34152, 
0.776811,13,5.25535, 
0.776864,14,5.25535, 
0.778979,15,5.249, 
0.782171,16,3.94947, 
0.783598,17,3.94947, 
0.785363,18,3.94947, 
0.786319,19,3.94947, 
0.789325,20,3.94947, 
0.791914,21,3.49346, 
0.79381,22,3.35825, 
0.795223,23,3.35825, 
0.801023,24,3.35825, 
0.801127,25,3.35825, 
0.808322,26,3.28686, 
0.813703,27,3.28686, 
0.818996,28,3.18453, 
0.820364,29,3.18453, 
0.822713,30,3.18453, 
0.824752,31,3.18453, 
0.83112,32,3.17977, 
0.832941,33,3.17977, 
0.834931,34,3.17977, 
0.837391,35,3.17977, 
0.838906,36,3.17977, 
0.842705,37,3.17977, 
0.843884,38,3.17977, 
0.845716,39,3.17977, 
