time,iteration,cost, 
0.770012,0,1.64406, 
time,iteration,cost, 
0.770778,0,inf, 
0.770993,1,inf, 
0.77114,2,inf, 
0.774075,3,inf, 
0.774254,4,inf, 
0.774374,5,inf, 
0.774489,6,inf, 
0.774606,7,inf, 
0.77471,8,inf, 
0.776488,9,inf, 
0.776642,10,inf, 
0.780375,11,inf, 
0.780538,12,inf, 
0.784317,13,inf, 
0.784517,14,inf, 
0.78788,15,inf, 
0.78803,16,inf, 
0.788165,17,inf, 
0.79185,18,inf, 
0.795803,19,inf, 
0.796007,20,inf, 
0.796175,21,inf, 
0.79635,22,inf, 
0.796501,23,inf, 
0.796642,24,inf, 
0.796816,25,inf, 
0.796982,26,inf, 
0.797154,27,inf, 
0.800942,28,inf, 
0.801172,29,inf, 
0.801424,30,inf, 
0.80159,31,inf, 
0.801741,32,inf, 
0.802803,33,inf, 
0.802957,34,inf, 
0.8031,35,inf, 
0.803263,36,inf, 
0.803394,37,inf, 
0.806943,38,inf, 
0.807131,39,inf, 
0.807275,40,inf, 
0.809067,41,inf, 
0.80926,42,inf, 
0.809478,43,inf, 
0.813578,44,21.6735, 
0.855904,45,5.84278, 
0.893655,46,5.61502, 
0.90067,47,4.17533, 
0.90573,48,4.08765, 
0.910296,49,3.9011, 
0.913596,50,3.9011, 
0.921012,51,3.81575, 
0.925077,52,3.80676, 
0.92885,53,3.80676, 
0.933792,54,3.80676, 
0.945598,55,3.73126, 
0.948371,56,3.73126, 
0.94847,57,3.73126, 
0.957374,58,3.71958, 
0.961399,59,3.71958, 
0.967577,60,3.67717, 
time,iteration,cost, 
0.769147,0,inf, 
0.769651,1,inf, 
0.771109,2,inf, 
0.771239,3,inf, 
0.773987,4,inf, 
0.775491,5,inf, 
0.775588,6,inf, 
0.777008,7,inf, 
0.777137,8,inf, 
0.77921,9,inf, 
0.779735,10,inf, 
0.779881,11,inf, 
0.782831,12,inf, 
0.783301,13,inf, 
0.783474,14,inf, 
0.78493,15,inf, 
0.785058,16,inf, 
0.785208,17,inf, 
0.785329,18,inf, 
0.785529,19,inf, 
0.786933,20,inf, 
0.787071,21,inf, 
0.789689,22,inf, 
0.789843,23,inf, 
0.789961,24,inf, 
0.791575,25,inf, 
0.791742,26,inf, 
0.791875,27,inf, 
0.793295,28,inf, 
0.795125,29,inf, 
0.795311,30,inf, 
0.796787,31,inf, 
0.798231,32,inf, 
0.798393,33,inf, 
0.798524,34,inf, 
0.801507,35,inf, 
0.801696,36,inf, 
0.801774,37,inf, 
0.801948,38,inf, 
0.802067,39,inf, 
0.805158,40,inf, 
0.805341,41,inf, 
0.805465,42,inf, 
0.805608,43,inf, 
0.80574,44,inf, 
0.805891,45,inf, 
0.806019,46,inf, 
0.807438,47,inf, 
0.807613,48,inf, 
0.807735,49,inf, 
0.807849,50,inf, 
0.808079,51,inf, 
0.808233,52,inf, 
0.808355,53,inf, 
0.809889,54,inf, 
0.809959,55,inf, 
0.810085,56,inf, 
0.810215,57,inf, 
0.810347,58,inf, 
0.810457,59,inf, 
0.810583,60,inf, 
0.811866,61,inf, 
0.812032,62,inf, 
0.812146,63,inf, 
0.81267,64,inf, 
0.812826,65,inf, 
0.812948,66,inf, 
0.813109,67,inf, 
0.813224,68,inf, 
0.813361,69,inf, 
0.813537,70,inf, 
0.813671,71,inf, 
0.813851,72,inf, 
0.813981,73,inf, 
0.814118,74,inf, 
0.814244,75,inf, 
0.814374,76,inf, 
0.814705,77,inf, 
0.814778,78,inf, 
0.817079,79,inf, 
0.817213,80,inf, 
0.817327,81,inf, 
0.817502,82,inf, 
0.818928,83,inf, 
0.820714,84,inf, 
0.820803,85,inf, 
0.820881,86,inf, 
0.821014,87,inf, 
0.821126,88,inf, 
0.821283,89,inf, 
0.821491,90,inf, 
0.821631,91,inf, 
0.821754,92,inf, 
0.821884,93,inf, 
0.822024,94,inf, 
0.822159,95,inf, 
0.8223,96,inf, 
0.822366,97,inf, 
0.822524,98,inf, 
