time,iteration,cost, 
0.0366423,0,1.3956, 
0.0390456,1,1.3954, 
0.0401035,2,1.3954, 
0.0430134,3,1.39534, 
0.0460791,4,1.3953, 
0.0477489,5,1.3953, 
0.0509627,6,1.3953, 
0.0523949,7,1.3953, 
0.0551425,8,1.3953, 
0.0573609,9,1.39526, 
0.0592543,10,1.39526, 
0.0616451,11,1.39526, 
0.0642908,12,1.39526, 
0.0664851,13,1.39526, 
0.0707835,14,1.39525, 
0.0729489,15,1.39525, 
0.0765674,16,1.39525, 
0.0809901,17,1.39524, 
0.0837225,18,1.39524, 
0.0863289,19,1.39522, 
0.0894882,20,1.39522, 
0.0923652,21,1.39521, 
0.0965435,22,1.39521, 
0.0993992,23,1.3952, 
0.102719,24,1.39519, 
0.105932,25,1.39519, 
0.108476,26,1.39519, 
0.112179,27,1.39519, 
0.117881,28,1.39519, 
0.12188,29,1.39518, 
0.126177,30,1.39518, 
0.13034,31,1.39518, 
0.134962,32,1.39518, 
0.138732,33,1.39518, 
0.147056,34,1.39517, 
0.150706,35,1.39516, 
0.156145,36,1.39516, 
0.163721,37,1.39516, 
0.171674,38,1.39516, 
0.179287,39,1.39516, 
0.186729,40,1.39516, 
0.194065,41,1.39516, 
0.200569,42,1.39515, 
0.206142,43,1.39515, 
0.210903,44,1.39515, 
0.215651,45,1.39515, 
0.220172,46,1.39515, 
0.225139,47,1.39515, 
0.233527,48,1.39515, 
0.239746,49,1.39515, 
0.246484,50,1.39515, 
0.25346,51,1.39514, 
0.260608,52,1.39514, 
0.270599,53,1.39514, 
0.275938,54,1.39514, 
0.281678,55,1.39514, 
0.287009,56,1.39514, 
0.294289,57,1.39513, 
0.303433,58,1.39513, 
0.309186,59,1.39513, 
0.314757,60,1.39513, 
0.322442,61,1.39513, 
0.330578,62,1.39513, 
0.337552,63,1.39513, 
0.343947,64,1.39513, 
0.351068,65,1.39513, 
0.358404,66,1.39513, 
0.365747,67,1.39513, 
0.373104,68,1.39513, 
0.379098,69,1.39513, 
0.393148,70,1.39513, 
0.400852,71,1.39513, 
0.408564,72,1.39513, 
0.415414,73,1.39513, 
0.423403,74,1.39513, 
0.431164,75,1.39512, 
0.437983,76,1.39512, 
0.44428,77,1.39512, 
0.454471,78,1.39512, 
0.462821,79,1.39512, 
0.470238,80,1.39512, 
0.480007,81,1.39512, 
0.490146,82,1.39512, 
0.49955,83,1.39512, 
0.506597,84,1.39512, 
0.515288,85,1.39511, 
0.524848,86,1.39511, 
0.532959,87,1.39511, 
0.542603,88,1.39511, 
0.553404,89,1.39511, 
0.561274,90,1.39511, 
0.570825,91,1.39511, 
0.582958,92,1.39511, 
0.593081,93,1.39511, 
0.600607,94,1.39511, 
0.611558,95,1.39511, 
0.622849,96,1.39511, 
0.630507,97,1.39511, 
0.640033,98,1.39511, 
0.648558,99,1.39511, 
0.657628,100,1.39511, 
0.665428,101,1.39511, 
0.673169,102,1.3951, 
0.685034,103,1.3951, 
0.696134,104,1.3951, 
0.710383,105,1.3951, 
0.719544,106,1.3951, 
0.733134,107,1.3951, 
0.744645,108,1.3951, 
0.753717,109,1.3951, 
0.762989,110,1.3951, 
0.771979,111,1.3951, 
0.784329,112,1.3951, 
0.795974,113,1.3951, 
0.810399,114,1.3951, 
0.825521,115,1.3951, 
0.837995,116,1.3951, 
0.856479,117,1.3951, 
0.871565,118,1.3951, 
0.881686,119,1.3951, 
0.894476,120,1.3951, 
0.906447,121,1.3951, 
0.916707,122,1.3951, 
0.930625,123,1.3951, 
0.94155,124,1.3951, 
0.952606,125,1.3951, 
0.962728,126,1.3951, 
0.97356,127,1.3951, 
0.990236,128,1.3951, 
time,iteration,cost, 
0.0108293,0,inf, 
0.0109703,1,inf, 
0.0114006,2,inf, 
0.011573,3,inf, 
0.011671,4,inf, 
0.0117697,5,inf, 
0.0155999,6,inf, 
0.017304,7,inf, 
0.0194842,8,inf, 
0.0226889,9,inf, 
0.0272649,10,inf, 
0.0323235,11,inf, 
0.0325815,12,inf, 
0.0327767,13,inf, 
0.032877,14,inf, 
0.0358862,15,inf, 
0.0361265,16,inf, 
0.0365405,17,inf, 
0.0398376,18,inf, 
0.0400542,19,inf, 
0.0402303,20,inf, 
0.0533176,21,inf, 
0.0535735,22,inf, 
0.0563164,23,inf, 
0.0564307,24,inf, 
0.0583041,25,inf, 
0.0584859,26,inf, 
0.0586063,27,inf, 
0.0587275,28,inf, 
0.0593649,29,inf, 
0.0595403,30,inf, 
0.0669393,31,inf, 
0.0670958,32,inf, 
0.0672456,33,inf, 
0.0674592,34,inf, 
0.0676404,35,inf, 
0.0678695,36,inf, 
0.0680174,37,inf, 
0.0681217,38,inf, 
0.0681778,39,inf, 
0.0706212,40,inf, 
0.0734416,41,inf, 
0.0763357,42,inf, 
0.0765123,43,inf, 
0.0807124,44,inf, 
0.0809036,45,inf, 
0.0910419,46,inf, 
0.0912796,47,inf, 
0.0914664,48,inf, 
0.0917071,49,inf, 
0.0918793,50,inf, 
0.0920408,51,inf, 
0.0924871,52,inf, 
0.0946874,53,inf, 
0.0948499,54,inf, 
0.0995608,55,inf, 
0.0997216,56,inf, 
0.100228,57,inf, 
0.100387,58,inf, 
0.100518,59,inf, 
0.103442,60,inf, 
0.107022,61,inf, 
0.107204,62,inf, 
0.107366,63,inf, 
0.107595,64,inf, 
0.107761,65,inf, 
0.107909,66,inf, 
0.10843,67,inf, 
0.108577,68,inf, 
0.108719,69,inf, 
0.108889,70,inf, 
0.113538,71,inf, 
0.113716,72,inf, 
0.113858,73,inf, 
0.114054,74,inf, 
0.1142,75,inf, 
0.114377,76,inf, 
0.121245,77,inf, 
0.121443,78,inf, 
0.121651,79,inf, 
0.121798,80,inf, 
0.122012,81,inf, 
0.122156,82,inf, 
0.12232,83,inf, 
0.122465,84,inf, 
0.12848,85,inf, 
0.128882,86,inf, 
0.129131,87,inf, 
0.133297,88,inf, 
0.133515,89,inf, 
0.133672,90,inf, 
0.133863,91,inf, 
0.134096,92,inf, 
0.134217,93,inf, 
0.134347,94,inf, 
0.134491,95,inf, 
0.134613,96,inf, 
0.134743,97,inf, 
0.134862,98,inf, 
0.135022,99,inf, 
0.135162,100,inf, 
0.135277,101,inf, 
0.135446,102,inf, 
0.135586,103,inf, 
0.135814,104,inf, 
0.136332,105,inf, 
0.136472,106,inf, 
0.138917,107,inf, 
0.13912,108,inf, 
0.139358,109,inf, 
0.139535,110,inf, 
0.139648,111,inf, 
0.13976,112,inf, 
0.139863,113,inf, 
0.142829,114,inf, 
0.142986,115,inf, 
0.143126,116,inf, 
0.143285,117,inf, 
0.143443,118,inf, 
0.143573,119,inf, 
0.145506,120,inf, 
0.146042,121,inf, 
0.146287,122,inf, 
0.149348,123,inf, 
0.149522,124,inf, 
0.152784,125,inf, 
0.152898,126,inf, 
0.158386,127,inf, 
0.158564,128,inf, 
0.160575,129,inf, 
0.160772,130,inf, 
0.161098,131,inf, 
0.161275,132,inf, 
0.161437,133,inf, 
0.16156,134,inf, 
0.161697,135,inf, 
0.164616,136,inf, 
0.16488,137,inf, 
0.165114,138,inf, 
0.165423,139,inf, 
0.165663,140,inf, 
0.165813,141,inf, 
0.16599,142,inf, 
0.166194,143,inf, 
0.182313,144,inf, 
0.182641,145,inf, 
0.182804,146,inf, 
0.183001,147,inf, 
0.183217,148,inf, 
0.183405,149,inf, 
0.183564,150,inf, 
0.183802,151,inf, 
