Participant,Shoulders,Left Upper Arm,Left Forearm,Right Upper Arm,Right Forearm,Left Elbow Dia,Left Wrist Dia,Right Elbow Dia,Right Wrist Dia,Experience,t1 m1 a,t1 m1 b,t1 m1 c,t1 m1 d,t1 m2 a,t1 m2 b,t1 m2 c,t1 m2 d,t1 m3 a,t1 m3 b,t1 m3 c,t1 m3 d,t2 m1 a,t2 m1 b,t2 m1 c,t2 m1 d,t2 m2 a,t2 m2 b,t2 m2 c,t2 m2 d,t2 m3 a,t2 m3 b,t2 m3 c,t2 m3 d,t2 m4 a,t2 m4 b,t2 m4 c,t2 m4 d,t2 m5 a,t2 m5 b,t2 m5 c,t2 m5 d,t3 m1 a,t3 m1 b,t3 m1 c,t3 m1 d,t3 m2 a,t3 m2 b,t3 m2 c,t3 m2 d,t3 m3 a,t3 m3 b,t3 m3 c,t3 m3 d,t3 m4 a,t3 m4 b,t3 m4 c,t3 m4 d,t3 m5 a,t3 m5 b,t3 m5 c,t3 m5 d
1,0.36,0.3,0.25,0.3,0.25,0.08,0.06,0.08,0.06,3,10,9,7,4,10,10,7,5,10,9,6,3,10,8,7,3,10,10,8,6,10,10,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.34,0.31,0.27,0.31,0.24,0.09,0.058,0.1,0.062,2,9,9,9,9,7,6,7,6,8,7,7,7,3,5,4,5,7,7,5,7,8,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.32,0.28,0.25,0.28,0.25,0.1,0.065,0.1,0.065,9,10,10,6,6,10,10,3,7,10,10,4,5,10,10,6,6,10,10,8,8,10,10,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.29,0.34,0.24,0.33,0.24,0.09,0.06,0.09,0.06,2,4,8,3,3,5,6,3,5,3,7,0,2,4,8,3,3,4,10,2,3,4,9,1,2,6,5,7,7,5,6,4,5,,,,,,,,,,,,,,,,,,,,
5,0.34,0.3,0.25,0.3,0.25,0.09,0.058,0.085,0.06,10,8,6,3,4,8,8,7,8,8,6,3,4,7,3,3,3,9,9,9,9,7,4,4,4,6,6,7,6,6,6,6,6,6,5,4,4,9,9,9,9,7,6,5,5,6,5,7,5,7,7,8,7
6,0.35,0.37,0.29,0.37,0.29,0.096,0.064,0.098,0.065,9,7,9,6,5,7,9,8,7,7,7,6,6,7,9,8,8,7,10,8,8,7,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.37,0.29,0.26,0.33,0.26,0.1,0.063,0.096,0.065,10,9,3,3,5,7,7,2,6,8,5,4,6,7,9,7,6,8,10,8,7,8,9,7,7,9,9,8,8,8,9,8,8,9,9,9,8,9,10,10,9,9,8,9,8,9,7,8,8,8,7,8,8
8,0.32,0.37,0.3,0.34,0.28,0.105,0.068,0.1,0.07,8,10,10,10,10,9,9,10,9,10,9,9,10,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,
9,0.32,0.31,0.26,0.31,0.27,0.087,0.06,0.085,0.058,8,10,6,4,4,9,7,4,6,9,6,4,3,7,7,7,7,9,10,9,9,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.31,0.29,0.22,0.28,0.22,0.06,0.05,0.06,0.05,2,10,7,9,10,6,8,3,8,9,10,7,9,8,10,8,8,9,10,7,8,9,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
