time,iteration,cost, 
0.00695635,0,375784, 
0.0171116,1,375784, 
0.0276444,2,375784, 
0.0468673,3,248876, 
0.0680931,4,118142, 
0.0939976,5,42.5329, 
0.134829,6,21.3383, 
0.156333,7,21.3383, 
0.174554,8,21.3383, 
0.196264,9,21.3383, 
0.219467,10,21.3383, 
0.253329,11,21.3383, 
0.28363,12,21.3383, 
0.345793,13,17.3152, 
0.378775,14,17.3152, 
0.418796,15,17.3152, 
0.479967,16,17.3152, 
0.524919,17,17.3152, 
0.58948,18,17.3152, 
0.643072,19,17.3152, 
0.693574,20,17.3152, 
0.761376,21,17.3152, 
0.828663,22,17.3152, 
0.896576,23,17.3152, 
0.968342,24,17.3152, 
1.0263,25,17.3152, 
1.11596,26,17.3152, 
1.16964,27,17.3152, 
1.17477,28,17.3152, 
1.26115,29,17.3152, 
1.31058,30,17.3152, 
1.38571,31,17.3152, 
1.48503,32,17.2115, 
1.5573,33,17.2115, 
1.64976,34,17.1135, 
1.71313,35,17.1135, 
1.78909,36,17.1135, 
1.88588,37,17.1135, 
2.00093,38,17.1135, 
2.10841,39,14.0644, 
2.17317,40,14.0644, 
2.23777,41,14.0644, 
2.30563,42,14.0644, 
2.40137,43,14.0644, 
2.48501,44,14.0644, 
2.50565,45,14.0644, 
2.64049,46,6.0372, 
2.77028,47,6.0372, 
2.88155,48,6.0372, 
2.97931,49,6.0372, 
3.06824,50,6.0372, 
3.16351,51,6.0372, 
3.28826,52,6.0372, 
3.39599,53,6.0372, 
3.45539,54,6.0372, 
3.60048,55,6.0372, 
3.70463,56,6.0372, 
3.81632,57,6.0372, 
3.93776,58,6.0372, 
4.10451,59,6.0372, 
4.23845,60,6.0372, 
4.37005,61,6.0372, 
4.51134,62,6.0372, 
4.66898,63,6.0372, 
4.68356,64,6.0372, 
4.81227,65,6.0372, 
4.96205,66,6.0372, 
5.13528,67,6.0372, 
5.15159,68,6.0372, 
5.331,69,6.0372, 
5.53719,70,6.0372, 
5.67666,71,6.0372, 
5.89839,72,6.0372, 
6.02711,73,6.0372, 
6.22662,74,6.0372, 
6.37606,75,6.0372, 
6.53794,76,6.0372, 
6.6807,77,6.0372, 
6.87358,78,6.0372, 
7.07495,79,6.0372, 
7.09534,80,6.0372, 
7.36273,81,6.0372, 
7.57883,82,6.0372, 
7.87427,83,6.0372, 
8.15879,84,6.0372, 
8.43247,85,6.0372, 
8.68773,86,6.0372, 
8.88588,87,6.0372, 
9.15466,88,6.0372, 
9.38915,89,6.0372, 
9.60682,90,6.0372, 
9.79136,91,6.0372, 
10.2256,92,6.0372, 
10.4441,93,6.0372, 
10.6471,94,6.0372, 
10.8977,95,6.0372, 
11.0923,96,6.0372, 
11.3555,97,6.0372, 
11.6237,98,6.0372, 
11.8285,99,6.0372, 
12.2279,100,6.0372, 
12.4241,101,6.0372, 
12.788,102,6.0372, 
13.1425,103,6.0372, 
13.1584,104,6.0372, 
13.4699,105,6.0372, 
13.7128,106,6.0372, 
14.1869,107,6.0372, 
14.7926,108,6.0372, 
14.8011,109,6.0372, 
14.8137,110,6.0372, 
15.0882,111,6.0372, 
15.1062,112,6.0372, 
15.3551,113,6.0372, 
15.5833,114,6.0372, 
15.5996,115,6.0372, 
15.885,116,6.0372, 
15.9011,117,6.0372, 
15.9115,118,6.0372, 
16.1356,119,6.0372, 
16.36,120,6.0372, 
16.5919,121,6.0372, 
16.9637,122,6.0372, 
17.2496,123,6.0372, 
17.5039,124,6.0372, 
17.512,125,6.0372, 
17.8664,126,6.0372, 
18.1423,127,6.0372, 
18.7587,128,6.0372, 
19.0083,129,6.0372, 
19.2789,130,6.0372, 
19.7309,131,6.0372, 
20.044,132,6.0372, 
20.2879,133,6.0372, 
20.6638,134,6.0372, 
21.0606,135,6.0372, 
21.3255,136,6.0372, 
21.7613,137,6.0372, 
22.0696,138,6.0372, 
22.6318,139,6.0372, 
23.0023,140,6.0372, 
23.3625,141,6.0372, 
23.9169,142,6.0372, 
24.5375,143,6.0372, 
24.9389,144,6.0372, 
25.3601,145,6.0372, 
26.1381,146,6.0372, 
26.5061,147,6.0372, 
26.7222,148,6.0372, 
27.1243,149,6.0372, 
27.7765,150,6.0372, 
28.0765,151,6.0372, 
28.0874,152,6.0372, 
28.296,153,6.0372, 
28.3119,154,6.0372, 
28.6241,155,6.0372, 
29.0257,156,6.0372, 
29.038,157,6.0372, 
29.0544,158,6.0372, 
29.4012,159,6.0372, 
29.9058,160,6.0372, 
30.3696,161,6.0372, 
31.2634,162,6.0372, 
31.2847,163,6.0372, 
31.6335,164,6.0372, 
31.9376,165,6.0372, 
32.456,166,6.0372, 
32.7627,167,6.0372, 
33.4504,168,6.0372, 
33.9652,169,6.0372, 
33.9716,170,6.0372, 
33.9907,171,6.0372, 
34.6251,172,6.0372, 
34.9849,173,6.0372, 
35.3665,174,6.0372, 
35.8117,175,6.0372, 
36.1566,176,6.0372, 
36.5017,177,6.0372, 
37.8959,178,6.0372, 
38.3143,179,6.0372, 
38.8451,180,6.0372, 
39.2746,181,6.0372, 
39.2849,182,6.0372, 
39.7118,183,6.0372, 
40.112,184,6.0372, 
41.3625,185,6.0372, 
41.9928,186,6.0372, 
42.4073,187,6.0372, 
43.6255,188,5.71505, 
44.0527,189,5.71505, 
44.9822,190,5.71505, 
45.4348,191,5.71505, 
45.8875,192,5.71505, 
46.361,193,5.71505, 
47.0115,194,5.71505, 
47.727,195,5.71505, 
48.497,196,5.71505, 
48.5168,197,5.71505, 
48.5256,198,5.71505, 
48.5384,199,5.71505, 
49.1405,200,5.71505, 
49.161,201,5.71505, 
49.604,202,5.71505, 
50.1219,203,5.71505, 
50.5138,204,5.71505, 
50.9296,205,5.71505, 
51.5453,206,5.71505, 
52.3547,207,5.71505, 
52.7964,208,5.71505, 
53.3221,209,5.71505, 
53.7172,210,5.71505, 
54.118,211,5.71505, 
54.7275,212,5.71505, 
55.3342,213,5.71505, 
55.9148,214,5.71505, 
56.3909,215,5.71505, 
57.1135,216,5.71505, 
57.8057,217,5.71505, 
58.3033,218,5.71505, 
58.3273,219,5.71505, 
59.3602,220,5.71505, 
59.7603,221,5.71505, 
time,iteration,cost, 
0.009384,0,375784, 
0.0221781,1,375784, 
0.0283535,2,375784, 
0.0428699,3,133756, 
0.0655618,4,130185, 
0.0944213,5,67.4132, 
0.109854,6,67.4132, 
0.127004,7,67.4132, 
0.163795,8,61.3214, 
0.191768,9,61.3214, 
0.217497,10,61.3214, 
0.258404,11,61.3214, 
0.331705,12,19.5774, 
0.360047,13,19.5774, 
0.426512,14,18.2798, 
0.473685,15,18.2798, 
0.504809,16,18.2798, 
0.545542,17,18.2798, 
0.602717,18,18.2798, 
0.654646,19,18.2798, 
0.708569,20,18.2798, 
0.759367,21,18.2798, 
0.815249,22,18.2798, 
0.823672,23,18.2798, 
0.879982,24,18.2798, 
0.943265,25,18.2798, 
1.06062,26,18.0929, 
1.11919,27,18.0929, 
1.17793,28,18.0929, 
1.27045,29,18.0929, 
1.32963,30,18.0929, 
1.4085,31,18.0929, 
1.48369,32,18.0929, 
1.54991,33,18.0929, 
1.6495,34,18.0929, 
1.77013,35,18.0929, 
1.85794,36,18.0929, 
2.01882,37,17.3019, 
2.13557,38,17.3019, 
2.21516,39,17.3019, 
2.29562,40,17.3019, 
2.37537,41,17.3019, 
2.47114,42,17.3019, 
2.55069,43,17.3019, 
2.66056,44,17.3019, 
2.73064,45,17.3019, 
2.84759,46,17.3019, 
2.91921,47,17.3019, 
3.01589,48,17.3019, 
3.1413,49,17.3019, 
3.24787,50,17.3019, 
3.35543,51,17.3019, 
3.44184,52,17.3019, 
3.55109,53,17.3019, 
3.6692,54,17.3019, 
3.77683,55,17.3019, 
3.90521,56,17.3019, 
4.05342,57,17.3019, 
4.17414,58,17.3019, 
4.40572,59,17.1491, 
4.51059,60,17.1491, 
4.66541,61,17.1491, 
4.75685,62,17.1491, 
4.96649,63,16.8764, 
5.10818,64,16.8764, 
5.2363,65,16.8764, 
5.34183,66,16.8764, 
5.44979,67,16.8764, 
5.57691,68,16.8764, 
5.9381,69,16.6787, 
6.14733,70,16.6239, 
6.29818,71,16.6239, 
6.62267,72,13.4408, 
6.7638,73,13.4408, 
6.86803,74,13.4408, 
6.9876,75,13.4408, 
7.12674,76,13.4408, 
7.23307,77,13.4408, 
7.3396,78,13.4408, 
7.67208,79,13.4408, 
7.84629,80,13.4408, 
7.98237,81,13.4408, 
8.18405,82,13.4408, 
8.30162,83,13.4408, 
8.40411,84,13.4408, 
8.62794,85,9.52881, 
8.88596,86,9.52881, 
9.09111,87,9.52881, 
9.24707,88,9.52881, 
9.49353,89,9.52881, 
9.69156,90,9.52881, 
9.85786,91,9.52881, 
10.0351,92,9.52881, 
10.056,93,9.52881, 
10.2765,94,9.52881, 
10.8551,95,9.52881, 
10.864,96,9.52881, 
10.8839,97,9.52881, 
11.0183,98,9.52881, 
11.1764,99,9.52881, 
11.3141,100,9.52881, 
11.5532,101,9.52881, 
11.867,102,9.52881, 
12.048,103,9.52881, 
12.2543,104,9.52881, 
12.4937,105,9.52881, 
12.8886,106,9.52881, 
13.1769,107,9.52881, 
13.3762,108,9.52881, 
13.3951,109,9.52881, 
13.6184,110,9.52881, 
13.9376,111,9.52881, 
14.1622,112,9.52881, 
14.4324,113,9.52881, 
14.7407,114,9.52881, 
15.0744,115,9.52881, 
15.3083,116,9.52881, 
15.518,117,9.52881, 
15.719,118,9.52881, 
16.208,119,9.52881, 
16.4484,120,9.52881, 
16.6511,121,9.52881, 
16.8226,122,9.52881, 
17.0819,123,9.52881, 
17.0912,124,9.52881, 
17.329,125,9.52881, 
17.6724,126,9.52881, 
18.0454,127,9.52881, 
18.2923,128,9.52881, 
18.5059,129,9.52881, 
18.6745,130,9.52881, 
18.8527,131,9.52881, 
19.2695,132,9.52881, 
19.6571,133,9.52881, 
19.9118,134,9.52881, 
20.2001,135,9.52881, 
20.6197,136,9.40585, 
20.9246,137,9.40585, 
21.2082,138,9.40585, 
21.5083,139,9.40585, 
21.5257,140,9.40585, 
21.752,141,9.40585, 
21.9758,142,9.40585, 
22.1753,143,9.40585, 
22.4774,144,9.40585, 
23.0192,145,9.40585, 
23.3356,146,9.40585, 
23.7359,147,9.40585, 
24.0407,148,9.40585, 
24.356,149,9.40585, 
24.5861,150,9.40585, 
24.9298,151,9.40585, 
25.1551,152,9.40585, 
25.4072,153,9.40585, 
25.691,154,9.40585, 
25.7119,155,9.40585, 
26.1062,156,9.40585, 
26.4082,157,9.40585, 
26.7602,158,9.40585, 
27.0656,159,9.40585, 
27.3839,160,9.40585, 
27.7067,161,9.40585, 
28.1855,162,9.40585, 
28.4525,163,9.40585, 
28.4641,164,9.40585, 
28.7883,165,9.40585, 
29.0813,166,9.40585, 
29.483,167,9.40585, 
29.739,168,9.40585, 
30.0531,169,9.40585, 
30.5932,170,9.40585, 
30.877,171,9.40585, 
31.1691,172,9.40585, 
31.406,173,9.40585, 
31.4292,174,9.40585, 
32.1781,175,9.40585, 
32.4965,176,9.40585, 
32.8434,177,9.40585, 
33.149,178,9.40585, 
33.6065,179,9.40585, 
33.9126,180,9.40585, 
34.1252,181,9.40585, 
34.5531,182,9.40585, 
34.8086,183,9.40585, 
35.2617,184,9.40585, 
35.776,185,9.40585, 
36.078,186,9.40585, 
36.9132,187,9.40585, 
37.7395,188,9.40585, 
38.0076,189,9.40585, 
38.3105,190,9.40585, 
39.0753,191,9.40585, 
39.5727,192,8.73026, 
40.3933,193,8.73026, 
40.7437,194,8.73026, 
41.2915,195,8.73026, 
41.5458,196,8.73026, 
42.3947,197,8.73026, 
42.7156,198,8.73026, 
43.5236,199,6.97598, 
44.0799,200,6.97598, 
44.4459,201,6.97598, 
45.0577,202,6.97598, 
45.3833,203,6.97598, 
45.9228,204,6.97598, 
46.8343,205,6.97598, 
47.3291,206,6.97598, 
47.6764,207,6.97598, 
47.687,208,6.97598, 
48.2488,209,6.97598, 
48.5484,210,6.97598, 
49.1097,211,6.97598, 
49.4785,212,6.97598, 
49.893,213,6.97598, 
50.2909,214,6.97598, 
50.3014,215,6.97598, 
50.8972,216,6.97598, 
51.3574,217,6.97598, 
51.8311,218,6.97598, 
52.2191,219,6.97598, 
52.8289,220,6.97598, 
53.1861,221,6.97598, 
53.5457,222,6.97598, 
54.07,223,6.97598, 
54.6379,224,6.97598, 
55.0447,225,6.97598, 
55.056,226,6.97598, 
56.2169,227,6.97598, 
56.8331,228,6.97598, 
57.5801,229,6.97598, 
57.9922,230,6.97598, 
58.0122,231,6.97598, 
58.0348,232,6.97598, 
58.6014,233,6.97598, 
59.1753,234,6.97598, 
59.5057,235,6.97598, 
time,iteration,cost, 
0.00681013,0,375784, 
0.0187154,1,375784, 
0.0275622,2,375784, 
0.0412097,3,277058, 
0.0510548,4,277058, 
0.0662526,5,277058, 
0.0887139,6,31.1055, 
0.109282,7,31.1055, 
0.124138,8,31.1055, 
0.150515,9,23.5507, 
0.174864,10,23.5507, 
0.207803,11,23.5507, 
0.238921,12,23.5507, 
0.263922,13,23.5507, 
0.305282,14,23.5507, 
0.337028,15,23.5507, 
0.380542,16,23.5507, 
0.41798,17,23.5507, 
0.45656,18,23.5507, 
0.498616,19,23.5507, 
0.542852,20,23.5507, 
0.591108,21,23.5507, 
0.650245,22,21.0908, 
0.717896,23,19.1757, 
0.765785,24,19.1757, 
0.8227,25,19.1757, 
0.88729,26,19.1757, 
0.973348,27,17.6809, 
1.03293,28,17.6809, 
1.11616,29,17.6809, 
1.16767,30,17.6809, 
1.22698,31,17.6809, 
1.30087,32,17.6809, 
1.36357,33,17.6809, 
1.44186,34,17.6809, 
1.51332,35,17.6809, 
1.58869,36,17.6809, 
1.65142,37,17.6809, 
1.72039,38,17.6809, 
1.7975,39,17.6809, 
1.87558,40,17.6809, 
1.95951,41,17.6809, 
2.0351,42,17.6809, 
2.11864,43,17.6809, 
2.21458,44,15.5211, 
2.23682,45,15.5211, 
2.32281,46,15.5211, 
2.39037,47,15.5211, 
2.4633,48,15.5211, 
2.53934,49,15.5211, 
2.63639,50,15.5211, 
2.72106,51,15.5211, 
2.81051,52,15.5211, 
2.91385,53,15.5211, 
3.073,54,15.5211, 
3.19375,55,15.5211, 
3.29927,56,15.5211, 
3.39334,57,15.5211, 
3.46717,58,15.5211, 
3.55822,59,15.5211, 
3.69388,60,15.5211, 
3.80564,61,15.5211, 
3.89591,62,15.5211, 
3.97731,63,15.5211, 
4.06431,64,15.5211, 
4.16665,65,15.5211, 
