time,iteration,cost, 
0.00762692,0,375784, 
0.0139959,1,375784, 
0.0218267,2,375784, 
0.0316191,3,375784, 
0.0460677,4,375784, 
0.0561797,5,375784, 
0.0743129,6,375784, 
0.0853766,7,375784, 
0.112077,8,252978, 
0.140864,9,76.4175, 
0.167037,10,76.4175, 
0.199927,11,76.4175, 
0.239919,12,76.4175, 
0.281272,13,43.2809, 
0.324953,14,43.2809, 
0.364929,15,43.2809, 
0.414648,16,43.2809, 
0.484998,17,23.9085, 
0.526706,18,23.9085, 
0.575411,19,23.9085, 
0.631979,20,23.9085, 
0.6925,21,23.9085, 
0.736801,22,23.9085, 
0.804481,23,23.9085, 
0.859973,24,23.9085, 
0.916394,25,23.9085, 
0.979717,26,23.9085, 
1.03527,27,23.9085, 
1.10273,28,23.9085, 
1.24336,29,21.6811, 
1.31505,30,21.6811, 
1.45695,31,17.5015, 
1.52659,32,17.5015, 
1.59648,33,17.5015, 
1.68542,34,17.5015, 
1.76025,35,17.5015, 
1.85171,36,17.5015, 
1.95909,37,17.5015, 
2.06024,38,17.5015, 
2.14228,39,17.5015, 
2.24138,40,17.5015, 
2.3411,41,17.5015, 
2.43004,42,17.5015, 
2.56596,43,17.5015, 
2.64388,44,17.5015, 
2.76221,45,17.5015, 
2.8762,46,17.5015, 
2.95651,47,17.5015, 
3.16388,48,17.5015, 
3.24921,49,17.5015, 
3.33806,50,17.5015, 
3.57383,51,17.5015, 
3.73942,52,17.5015, 
3.841,53,17.5015, 
4.12589,54,17.5015, 
4.24376,55,17.5015, 
4.36475,56,17.5015, 
4.49245,57,17.5015, 
4.67648,58,17.5015, 
4.85384,59,17.5015, 
5.10876,60,17.5015, 
5.25336,61,17.5015, 
5.61497,62,17.5015, 
5.87973,63,17.5015, 
5.99873,64,17.5015, 
6.10571,65,17.5015, 
6.11733,66,17.5015, 
6.46581,67,16.7636, 
6.6318,68,16.7636, 
6.86589,69,16.7636, 
7.06396,70,13.9606, 
7.34753,71,13.9606, 
7.45335,72,13.9606, 
7.60288,73,13.9606, 
7.7865,74,13.9606, 
8.06089,75,13.9606, 
8.07701,76,13.9606, 
8.33249,77,13.9606, 
8.58855,78,13.9606, 
8.70491,79,13.9606, 
8.94938,80,13.9606, 
9.24034,81,13.9606, 
9.44189,82,13.9606, 
