t,spd scale,edo_joint_1 pos,edo_joint_2 pos,edo_joint_3 pos,edo_joint_4 pos,edo_joint_5 pos,edo_joint_6 pos,edo_joint_1 vel,edo_joint_2 vel,edo_joint_3 vel,edo_joint_4 vel,edo_joint_5 vel,edo_joint_6 vel,edo_joint_1 acc,edo_joint_2 acc,edo_joint_3 acc,edo_joint_4 acc,edo_joint_5 acc,edo_joint_6 acc,edo_joint_1 effort,edo_joint_2 effort,edo_joint_3 effort,edo_joint_4 effort,edo_joint_5 effort,edo_joint_6 effort,act human j0 x, y, z,act human j1 x, y, z,act human j2 x, y, z,act human j3 x, y, z,act human j4 x, y, z,act human j5 x, y, z,act human j6 x, y, z,act human j7 x, y, z,act human j8 x, y, z,act human j9 x, y, z,act human j10 x, y, z,act human j11 x, y, z,act human j12 x, y, z,act human j13 x, y, z,act human j14 x, y, z,act human j15 x, y, z,act human j16 x, y, z,act human j17 x, y, z,act human j18 x, y, z,act human j19 x, y, z,act human j20 x, y, z,act human j21 x, y, z,act human j22 x, y, z,act human j23 x, y, z,act human j24 x, y, z,act human j25 x, y, z,act human j26 x, y, z,act human j27 x, y, z,act human j28 x, y, z,act human j29 x, y, z,act human j30 x, y, z,act human j31 x, y, z,act human j32 x, y, z,act human j33 x, y, z,act human j34 x, y, z,act human j35 x, y, z,act human j36 x, y, z,act human j37 x, y, z,act human j38 x, y, z,act human j39 x, y, z,act human j40 x, y, z,act human j41 x, y, z,act human j42 x, y, z,act human j43 x, y, z,act human j44 x, y, z,act human j45 x, y, z,act human j46 x, y, z,act human j47 x, y, z,act human j48 x, y, z,act human j49 x, y, z,act human j50 x, y, z,act human j51 x, y, z,act human j52 x, y, z,act human j53 x, y, z,act human j54 x, y, z,act human j55 x, y, z,act human j56 x, y, z,act human j57 x, y, z,skel pt 0 x, y, z,skel pt 1 x, y, z,skel pt 2 x, y, z,skel pt 3 x, y, z,skel pt 4 x, y, z,skel pt 5 x, y, z,skel pt 6 x, y, z,skel pt 7 x, y, z,skel pt 8 x, y, z,skel pt 9 x, y, z,skel pt 10 x, y, z,skel pt 11 x, y, z,skel pt 12 x, y, z,skel pt 13 x, y, z,skel pt 14 x, y, z,pred pelvis x, y, z,pred spine top x, y, z,pred head top x, y, z,pred l shoulder x, y, z,pred l elbow x, y, z,pred l wrist x, y, z,pred r shoulder x, y, z,pred r elbow x, y, z,pred r wrist x, y, z,plan time,min sep dist, tip speed
0.0167582,100,2.70388,1.58744,6.77293e-08,-4.58334e-07,1.52813,1.31485e-06,-0.00296293,-0.000201927,1.9797e-05,-0.000133969,-0.000427868,0.000384326,-0.662593,-0.0791734,0.00776219,-0.0525278,-0.167762,0.15069,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0300466,0.596269,0.0638901,0.0654102,0.804154,0.584883,-0.079484,0.699477,0.759664,-0.0919788,0.848253,0.598297,-0.246831,0.838231,0.359246,0.126939,0.520107,0.263885,0.222799,0.760054,0.571468,0.29768,0.759631,0.296481,-0.127708,0.499412,0.259997,4.5604e-308,0.328806,0.00149666
0.0333927,100,2.70377,1.58743,1.7561e-06,-1.18838e-05,1.5281,3.40919e-05,-0.0102111,-0.00205574,0.000201545,-0.00136389,-0.00435595,0.00391267,-0.748185,-0.260135,0.0255038,-0.172588,-0.551206,0.495113,0,0,0,0,0,0,-0.0300466,0.596269,0.0638901,0.0654102,0.804154,0.584883,-0.079484,0.699477,0.759664,-0.0919788,0.848253,0.598297,-0.246831,0.838231,0.359246,0.126939,0.520107,0.263885,0.222799,0.760054,0.571468,0.29768,0.759631,0.296481,-0.127708,0.499412,0.259997,0.0176818,0.700211,0.324386,-0.00703689,0.751815,0.672273,-0.169405,0.843242,0.478771,-0.059946,0.679169,0.311566,0.260239,0.759843,0.433975,0.0849858,0.629522,0.278239,0.0176818,0.700211,0.324386,-0.00703689,0.751815,0.672273,-0.169405,0.843242,0.478771,-0.059946,0.679169,0.311566,0.260239,0.759843,0.433975,0.0849858,0.629522,0.278239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300466,0.596269,0.0638901,0.0654102,0.804154,0.584883,-0.079484,0.699477,0.759664,-0.0919788,0.848253,0.598297,-0.246831,0.838231,0.359246,0.126939,0.520107,0.263885,0.222799,0.760054,0.571468,0.29768,0.759631,0.296481,-0.127708,0.499412,0.259997,0.0176818,0.700211,0.324386,-0.00703689,0.751815,0.672273,-0.169405,0.843242,0.478771,-0.059946,0.679169,0.311566,0.260239,0.759843,0.433975,0.0849858,0.629522,0.278239,-0.0300466,0.596269,0.0638901,0.0654102,0.804154,0.584883,-0.079484,0.699477,0.759664,-0.0919788,0.848253,0.598297,-0.246831,0.838231,0.359246,0.126939,0.520107,0.263885,0.222799,0.760054,0.571468,0.29768,0.759631,0.296481,-0.127708,0.499412,0.259997,4.5604e-308,0.328812,0.0057921
0.0500819,100,2.7035,1.58735,8.98569e-06,-6.08075e-05,1.52794,0.000174442,-0.0188127,-0.0060845,0.000596527,-0.00403678,-0.0128926,0.0115806,-0.882637,-0.451939,0.0443083,-0.299841,-0.957624,0.860172,0,0,0,0,0,0,-0.0300466,0.596269,0.0638901,0.0654102,0.804154,0.584883,-0.079484,0.699477,0.759664,-0.0919788,0.848253,0.598297,-0.246831,0.838231,0.359246,0.126939,0.520107,0.263885,0.222799,0.760054,0.571468,0.29768,0.759631,0.296481,-0.127708,0.499412,0.259997,0.0176818,0.700211,0.324386,-0.00703689,0.751815,0.672273,-0.169405,0.843242,0.478771,-0.059946,0.679169,0.311566,0.260239,0.759843,0.433975,0.0849858,0.629522,0.278239,0.0176818,0.700211,0.324386,-0.00703689,0.751815,0.672273,-0.169405,0.843242,0.478771,-0.059946,0.679169,0.311566,0.260239,0.759843,0.433975,0.0849858,0.629522,0.278239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300466,0.596269,0.0638901,0.0654102,0.804154,0.584883,-0.079484,0.699477,0.759664,-0.0919788,0.848253,0.598297,-0.246831,0.838231,0.359246,0.126939,0.520107,0.263885,0.222799,0.760054,0.571468,0.29768,0.759631,0.296481,-0.127708,0.499412,0.259997,0.0176818,0.700211,0.324386,-0.00703689,0.751815,0.672273,-0.169405,0.843242,0.478771,-0.059946,0.679169,0.311566,0.260239,0.759843,0.433975,0.0849858,0.629522,0.278239,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,4.5604e-308,0.328812,0.0121631
0.066755,100,2.70313,1.58721,2.26943e-05,-0.000153576,1.52764,0.000440573,-0.0266712,-0.0110122,0.00107964,-0.0073061,-0.023334,0.0209595,-0.759656,-0.515288,0.050519,-0.341869,-1.09185,0.980743,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,4.5604e-308,0.332113,0.0190468
0.0834645,100,2.70263,1.58698,4.51732e-05,-0.000305693,1.52716,0.000876962,-0.0349312,-0.0170546,0.00167204,-0.0113149,-0.0361373,0.0324599,-0.786868,-0.608367,0.0596444,-0.403623,-1.28908,1.1579,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,4.5604e-308,0.332113,0.0270941
0.100059,100,2.70217,1.58674,6.86532e-05,-0.000464586,1.52665,0.00133279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,4.5604e-308,0.328469,0
0.116726,100,2.70217,1.58674,6.86532e-05,-0.000464586,1.52665,0.00133279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,4.5604e-308,0.328469,0
0.133426,100,2.70217,1.58674,6.86532e-05,-0.000464586,1.52665,0.00133279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,4.5604e-308,0.328412,0
0.150059,100,2.70217,1.58674,6.86532e-05,-0.000464586,1.52665,0.00133279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0371665,0.594539,0.0553137,-0.0371665,0.594539,0.624314,-0.189378,0.49522,0.795975,-0.195886,0.633371,0.638323,-0.345298,0.617208,0.396166,0.030784,0.315161,0.26452,0.121553,0.555708,0.610304,0.191648,0.56582,0.334244,-0.209703,0.275702,0.265338,4.5604e-308,0.328412,0
0.166738,100,2.70217,1.58674,6.86532e-05,-0.000464586,1.52665,0.00133279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402438,0.590507,0.0602661,0.0587564,0.797746,0.580854,-0.100606,0.715025,0.75481,-0.0997439,0.837473,0.594832,-0.253893,0.830651,0.355214,0.130099,0.529239,0.247046,0.217257,0.758018,0.566877,0.289309,0.764283,0.291206,-0.125479,0.491207,0.233069,0.00925632,0.694126,0.32056,-0.020925,0.756385,0.667832,-0.176819,0.834062,0.475023,-0.0618971,0.679945,0.30113,0.253283,0.761151,0.429041,0.0819146,0.627745,0.262137,-0.0371665,0.594539,0.0553137,-0.0371665,0.594539,0.624314,-0.189378,0.49522,0.795975,-0.195886,0.633371,0.638323,-0.345298,0.617208,0.396166,0.030784,0.315161,0.26452,0.121553,0.555708,0.610304,0.191648,0.56582,0.334244,-0.209703,0.275702,0.265338,4.5604e-308,0.328412,0
